Gray value ,Voxel count 
14203,7974
14204,7949
14205,7868
14206,7940
14207,8021
14208,8027
14209,8019
14210,7940
14211,8018
14212,8105
14213,8019
14214,8047
14215,8029
14216,7920
14217,7943
14218,7956
14219,8028
14220,8034
14221,7960
14222,7875
14223,7976
14224,7894
14225,7764
14226,7911
14227,8043
14228,7916
14229,8039
14230,8027
14231,7753
14232,7930
14233,7964
14234,7913
14235,7823
14236,7719
14237,7971
14238,7715
14239,7815
14240,7884
14241,8058
14242,7744
14243,7997
14244,7931
14245,7832
14246,7819
14247,7845
14248,7802
14249,7810
14250,7905
14251,7825
14252,7883
14253,7800
14254,7759
14255,7748
14256,7859
14257,7792
14258,7795
14259,7863
14260,7916
14261,7924
14262,7937
14263,7769
14264,7719
14265,7763
14266,7950
14267,7816
14268,7806
14269,7895
14270,7946
14271,7766
14272,7757
14273,7760
14274,7784
14275,7806
14276,7762
14277,7815
14278,7839
14279,7819
14280,7686
14281,7774
14282,7601
14283,7804
14284,7555
14285,7809
14286,7875
14287,7754
14288,7847
14289,7772
14290,7725
14291,7728
14292,7684
14293,7796
14294,7721
14295,7795
14296,7706
14297,7778
14298,7551
14299,7804
14300,7846
14301,7588
14302,7875
14303,7701
14304,7724
14305,7676
14306,7811
14307,7652
14308,7786
14309,7705
14310,7680
14311,7728
14312,7605
14313,7677
14314,7610
14315,7575
14316,7629
14317,7751
14318,7600
14319,7453
14320,7673
14321,7724
14322,7775
14323,7652
14324,7671
14325,7608
14326,7550
14327,7680
14328,7721
14329,7613
14330,7685
14331,7655
14332,7636
14333,7584
14334,7682
14335,7656
14336,7584
14337,7594
14338,7580
14339,7555
14340,7615
14341,7551
14342,7677
14343,7510
14344,7609
14345,7699
14346,7511
14347,7670
14348,7745
14349,7532
14350,7633
14351,7522
14352,7536
14353,7660
14354,7638
14355,7695
14356,7682
14357,7643
14358,7549
14359,7639
14360,7391
14361,7537
14362,7575
14363,7691
14364,7647
14365,7418
14366,7502
14367,7639
14368,7651
14369,7560
14370,7410
14371,7686
14372,7394
14373,7565
14374,7519
14375,7588
14376,7491
14377,7599
14378,7522
14379,7527
14380,7596
14381,7524
14382,7462
14383,7562
14384,7468
14385,7497
14386,7362
14387,7469
14388,7567
14389,7782
14390,7480
14391,7603
14392,7605
14393,7547
14394,7653
14395,7461
14396,7385
14397,7572
14398,7375
14399,7504
14400,7456
14401,7683
14402,7457
14403,7351
14404,7522
14405,7525
14406,7466
14407,7663
14408,7422
14409,7436
14410,7561
14411,7510
14412,7350
14413,7319
14414,7538
14415,7389
14416,7321
14417,7474
14418,7459
14419,7460
14420,7437
14421,7433
14422,7495
14423,7411
14424,7433
14425,7528
14426,7500
14427,7442
14428,7416
14429,7465
14430,7442
14431,7594
14432,7533
14433,7274
14434,7314
14435,7384
14436,7406
14437,7551
14438,7473
14439,7398
14440,7377
14441,7421
14442,7419
14443,7358
14444,7436
14445,7407
14446,7382
14447,7265
14448,7513
14449,7252
14450,7364
14451,7584
14452,7481
14453,7308
14454,7339
14455,7263
14456,7324
14457,7387
14458,7348
14459,7333
14460,7303
14461,7383
14462,7424
14463,7358
14464,7467
14465,7367
14466,7307
14467,7414
14468,7419
14469,7319
14470,7386
14471,7281
14472,7450
14473,7263
14474,7386
14475,7344
14476,7300
14477,7258
14478,7232
14479,7261
14480,7233
14481,7272
14482,7360
14483,7363
14484,7165
14485,7202
14486,7334
14487,7432
14488,7253
14489,7331
14490,7278
14491,7290
14492,7233
14493,7377
14494,7236
14495,7258
14496,7378
14497,7273
14498,7256
14499,7352
14500,7172
14501,7226
14502,7233
14503,7430
14504,7318
14505,7279
14506,7222
14507,7150
14508,7215
14509,6924
14510,7252
14511,7174
14512,7283
14513,7235
14514,7164
14515,7301
14516,7293
14517,7268
14518,7215
14519,7276
14520,7313
14521,7348
14522,7089
14523,7184
14524,7081
14525,7181
14526,7113
14527,7230
14528,7114
14529,7132
14530,7278
14531,7081
14532,7103
14533,7402
14534,7334
14535,7213
14536,7139
14537,7123
14538,7300
14539,7168
14540,7020
14541,7180
14542,7198
14543,7252
14544,7139
14545,7095
14546,7277
14547,7291
14548,7029
14549,7183
14550,7099
14551,7071
14552,7192
14553,7170
14554,7135
14555,6954
14556,7179
14557,7224
14558,7169
14559,7030
14560,7191
14561,6948
14562,7100
14563,7238
14564,7131
14565,7165
14566,7217
14567,7089
14568,7277
14569,7143
14570,7063
14571,6921
14572,7017
14573,6992
14574,6990
14575,7104
14576,7141
14577,7168
14578,7120
14579,7099
14580,6933
14581,7009
14582,7157
14583,7225
14584,7020
14585,7077
14586,6994
14587,7069
14588,6966
14589,7181
14590,7159
14591,7014
14592,7128
14593,7031
14594,7261
14595,7109
14596,7003
14597,7027
14598,7150
14599,7019
14600,7187
14601,6917
14602,7107
14603,7082
14604,7111
14605,7145
14606,7009
14607,7125
14608,6930
14609,7028
14610,7010
14611,6907
14612,7088
14613,7112
14614,6984
14615,6959
14616,7047
14617,6999
14618,7073
14619,6969
14620,6982
14621,6872
14622,7081
14623,6894
14624,6987
14625,6994
14626,6862
14627,6990
14628,6991
14629,7019
14630,6920
14631,6945
14632,6853
14633,6913
14634,6934
14635,7021
14636,6921
14637,6933
14638,6971
14639,6985
14640,7035
14641,6901
14642,6897
14643,7003
14644,7051
14645,6999
14646,6902
14647,6918
14648,6946
14649,6966
14650,6932
14651,7003
14652,6950
14653,6924
14654,7001
14655,6814
14656,6880
14657,6956
14658,7100
14659,6844
14660,6899
14661,7005
14662,7026
14663,6862
14664,6749
14665,6856
14666,6922
14667,6884
14668,6951
14669,6935
14670,6854
14671,6921
14672,6852
14673,7056
14674,6925
14675,6991
14676,7133
14677,6879
14678,7020
14679,6908
14680,6720
14681,6958
14682,6961
14683,6956
14684,6732
14685,6723
14686,6911
14687,6825
14688,7024
14689,7032
14690,6754
14691,6821
14692,6846
14693,6808
14694,6685
14695,6817
14696,6662
14697,6866
14698,6793
14699,6815
14700,6819
14701,6880
14702,6811
14703,6718
14704,6730
14705,6880
14706,6794
14707,6771
14708,6992
14709,6834
14710,6805
14711,6721
14712,6763
14713,6701
14714,6889
14715,6774
14716,6909
14717,6805
14718,6784
14719,6671
14720,6631
14721,6866
14722,6849
14723,6781
14724,6803
14725,6790
14726,6855
14727,6577
14728,6784
14729,6816
14730,6659
14731,6587
14732,6832
14733,6661
14734,6575
14735,6810
14736,6754
14737,6822
14738,6716
14739,6692
14740,6796
14741,6776
14742,6784
14743,6860
14744,6812
14745,6865
14746,6666
14747,6782
14748,6734
14749,6942
14750,6763
14751,6806
14752,6658
14753,6678
14754,6681
14755,6628
14756,6593
14757,6794
14758,6836
14759,6777
14760,6774
14761,6645
14762,6606
14763,6752
14764,6575
14765,6653
14766,6774
14767,6789
14768,6722
14769,6819
14770,6748
14771,6545
14772,6688
14773,6882
14774,6742
14775,6604
14776,6698
14777,6592
14778,6697
14779,6625
14780,6621
14781,6691
14782,6690
14783,6580
14784,6736
14785,6728
14786,6621
14787,6652
14788,6804
14789,6744
14790,6604
14791,6644
14792,6702
14793,6705
14794,6847
14795,6784
14796,6719
14797,6673
14798,6550
14799,6505
14800,6626
14801,6826
14802,6570
14803,6529
14804,6573
14805,6663
14806,6636
14807,6502
14808,6586
14809,6533
14810,6544
14811,6646
14812,6705
14813,6559
14814,6536
14815,6520
14816,6572
14817,6688
14818,6620
14819,6705
14820,6664
14821,6506
14822,6654
