Gray value ,Voxel count 
50.4354,1145
50.4468,1219
50.4583,1210
50.4698,1224
50.4813,1251
50.4928,1246
50.5042,1183
50.5157,1253
50.5272,1259
50.5387,1263
50.5502,1137
50.5616,1234
50.5731,1243
50.5846,1236
50.5961,1224
50.6076,1248
50.619,1245
50.6305,1198
50.642,1115
50.6535,1234
50.665,1207
50.6764,1204
50.6879,1183
50.6994,1213
50.7109,1160
50.7224,1232
50.7338,1210
50.7453,1207
50.7568,1217
50.7683,1229
50.7798,1218
50.7913,1164
50.8027,1191
50.8142,1176
50.8257,1201
50.8372,1167
50.8487,1125
50.8601,1174
50.8716,1134
50.8831,1116
50.8946,1202
50.9061,1131
50.9175,1160
50.929,1113
50.9405,1191
50.952,1175
50.9635,1182
50.9749,1239
50.9864,1151
50.9979,1142
51.0094,1174
51.0209,1105
51.0323,1172
51.0438,1163
51.0553,1157
51.0668,1124
51.0783,1105
51.0897,1123
51.1012,1154
51.1127,1201
51.1242,1161
51.1357,1052
51.1471,1120
51.1586,1131
51.1701,1117
51.1816,1152
51.1931,1170
51.2045,1123
51.216,1088
51.2275,1143
51.239,1135
51.2505,1157
51.2619,1196
51.2734,1153
51.2849,1121
51.2964,1046
51.3079,1183
51.3193,1095
51.3308,1162
51.3423,1189
51.3538,1041
51.3653,1085
51.3767,1084
51.3882,1140
51.3997,1115
51.4112,1147
51.4227,1076
51.4342,1117
51.4456,1097
51.4571,1102
51.4686,1086
51.4801,1062
51.4916,1081
51.503,1082
51.5145,1177
51.526,1157
51.5375,1070
51.549,1060
51.5604,1067
51.5719,1120
51.5834,1123
51.5949,1087
51.6064,1110
51.6178,1126
51.6293,1080
51.6408,1097
51.6523,1083
51.6638,1043
51.6752,1107
51.6867,1032
51.6982,1097
51.7097,1080
51.7212,1115
51.7326,1014
51.7441,1026
51.7556,1081
51.7671,1049
51.7786,1053
51.79,1093
51.8015,1027
51.813,1107
51.8245,1092
51.836,1090
51.8474,1059
51.8589,1129
51.8704,1076
51.8819,1017
51.8934,1050
51.9048,1079
51.9163,1080
51.9278,1045
51.9393,1035
51.9508,1029
51.9622,1013
51.9737,1064
51.9852,1089
51.9967,1011
52.0082,1070
52.0196,1065
52.0311,1042
52.0426,1080
52.0541,1033
52.0656,1066
52.077,1039
52.0885,990
52.1,1047
52.1115,1059
52.123,1104
52.1345,1020
52.1459,1007
52.1574,1029
52.1689,958
