Gray value ,Voxel count 
36.566,11075
36.578,10836
36.5899,10847
36.6019,10484
36.6139,10815
36.6258,10835
36.6378,10810
36.6498,10893
36.6617,11074
36.6737,10834
36.6857,11062
36.6976,10872
36.7096,10738
36.7216,10721
36.7335,10931
36.7455,10753
36.7575,10719
36.7694,10797
36.7814,10451
36.7934,10655
36.8053,10672
36.8173,10727
36.8293,10602
36.8412,10584
36.8532,10602
36.8652,10558
36.8771,10547
36.8891,10556
36.9011,10662
36.913,10683
36.925,10397
36.9369,10391
36.9489,10462
36.9609,10463
36.9728,10609
36.9848,10264
36.9968,10318
37.0087,10238
37.0207,10311
37.0327,10470
37.0446,10254
37.0566,10399
37.0686,10289
37.0805,10109
37.0925,10317
37.1045,10279
37.1164,10244
37.1284,10152
37.1404,10345
37.1523,10137
37.1643,10386
37.1763,10323
37.1882,10174
37.2002,10409
37.2122,10195
37.2241,10127
37.2361,10275
37.2481,10146
37.26,10307
37.272,10207
37.284,10270
37.2959,10234
37.3079,10145
37.3198,10113
37.3318,10070
37.3438,10173
37.3557,9966
37.3677,10070
37.3797,9947
37.3916,10130
37.4036,10006
37.4156,9939
37.4275,9930
37.4395,9899
37.4515,10013
37.4634,10079
37.4754,10074
37.4874,9840
37.4993,9948
37.5113,9947
37.5233,10013
37.5352,9900
37.5472,9767
37.5592,9763
37.5711,10025
37.5831,9668
37.5951,9691
37.607,9751
37.619,9847
37.631,9497
37.6429,9741
37.6549,9626
37.6669,9725
37.6788,9704
37.6908,9913
37.7028,9801
37.7147,9622
37.7267,9578
37.7386,9838
37.7506,9572
37.7626,9789
37.7745,9563
37.7865,9741
37.7985,9763
37.8104,9726
37.8224,9611
37.8344,9801
37.8463,9679
37.8583,9619
37.8703,9572
37.8822,9597
37.8942,9706
37.9062,9482
37.9181,9385
37.9301,9402
37.9421,9521
37.954,9648
37.966,9573
37.978,9533
37.9899,9552
38.0019,9445
38.0139,9421
38.0258,9380
38.0378,9466
38.0498,9541
38.0617,9466
38.0737,9412
38.0857,9346
38.0976,9484
38.1096,9450
38.1215,9439
38.1335,9387
38.1455,9237
38.1574,9343
38.1694,9236
38.1814,9267
38.1933,9389
38.2053,9375
38.2173,9301
38.2292,9198
38.2412,9359
38.2532,9251
38.2651,9284
38.2771,9087
38.2891,9260
38.301,9224
38.313,9420
38.325,9278
38.3369,9200
38.3489,9281
38.3609,9294
38.3728,9046
38.3848,9412
38.3968,9185
38.4087,9046
38.4207,9008
38.4327,9201
38.4446,9066
38.4566,9225
38.4686,9139
38.4805,9326
38.4925,9045
38.5045,9062
38.5164,9115
38.5284,9160
38.5403,9197
38.5523,9179
38.5643,9203
38.5762,9110
38.5882,8938
38.6002,9001
38.6121,9143
38.6241,9088
38.6361,9126
38.648,8971
38.66,8998
38.672,9151
38.6839,8970
38.6959,9014
38.7079,9075
38.7198,8999
38.7318,8925
38.7438,9035
38.7557,9028
38.7677,9102
38.7797,8882
38.7916,9023
38.8036,8710
38.8156,8916
38.8275,8831
38.8395,8878
38.8515,8983
38.8634,9086
38.8754,8890
38.8874,9064
38.8993,9112
38.9113,8842
38.9232,9082
38.9352,8874
38.9472,8994
38.9591,9052
38.9711,8743
38.9831,8760
38.995,8823
39.007,8742
39.019,8739
39.0309,8929
39.0429,8841
39.0549,8918
39.0668,8727
39.0788,8961
39.0908,9018
39.1027,8839
39.1147,8713
39.1267,8739
39.1386,8714
39.1506,8860
39.1626,8977
39.1745,8830
39.1865,8763
39.1985,8917
39.2104,8755
39.2224,8835
39.2344,8692
39.2463,8771
39.2583,8808
39.2703,8691
39.2822,8850
39.2942,8770
39.3062,8812
39.3181,8746
39.3301,8682
39.342,8613
39.354,8728
39.366,8577
39.3779,8558
39.3899,8842
39.4019,8691
39.4138,8762
39.4258,8771
39.4378,8874
39.4497,8732
39.4617,8682
39.4737,8804
39.4856,8592
39.4976,8660
39.5096,8678
39.5215,8700
39.5335,8789
39.5455,8682
39.5574,8464
39.5694,8656
39.5814,8583
39.5933,8720
39.6053,8700
39.6173,8804
39.6292,8779
39.6412,8624
39.6532,8691
39.6651,8673
39.6771,8600
39.6891,8746
39.701,8746
39.713,8505
39.7249,8441
39.7369,8486
39.7489,8779
39.7608,8502
39.7728,8449
39.7848,8497
39.7967,8600
39.8087,8593
39.8207,8497
39.8326,8708
39.8446,8637
39.8566,8658
39.8685,8517
39.8805,8459
39.8925,8617
39.9044,8462
39.9164,8687
39.9284,8479
39.9403,8622
39.9523,8894
39.9643,8588
39.9762,8601
39.9882,8598
40.0002,8689
40.0121,8643
40.0241,8508
40.0361,8490
40.048,8484
40.06,8583
40.072,8552
40.0839,8712
40.0959,8349
40.1079,8526
40.1198,8620
40.1318,8433
40.1437,8709
40.1557,8699
40.1677,8413
40.1796,8697
40.1916,8677
40.2036,8507
40.2155,8525
40.2275,8672
40.2395,8431
40.2514,8517
40.2634,8651
40.2754,8522
40.2873,8671
40.2993,8575
40.3113,8566
40.3232,8628
40.3352,8416
40.3472,8510
40.3591,8520
40.3711,8515
40.3831,8651
40.395,8667
40.407,8638
40.419,8521
40.4309,8576
40.4429,8533
40.4549,8587
40.4668,8607
40.4788,8593
40.4908,8573
40.5027,8555
40.5147,8572
40.5266,8712
40.5386,8526
40.5506,8513
40.5625,8664
40.5745,8442
40.5865,8536
40.5984,8629
40.6104,8695
40.6224,8582
40.6343,8684
40.6463,8582
40.6583,8641
40.6702,8476
40.6822,8631
40.6942,8787
40.7061,8666
40.7181,8728
40.7301,8743
40.742,8748
40.754,8577
40.766,8651
40.7779,8662
40.7899,8523
40.8019,8612
40.8138,8657
40.8258,8706
40.8378,8685
40.8497,8722
40.8617,8670
40.8737,8763
40.8856,8787
40.8976,8639
40.9096,8709
40.9215,8789
40.9335,8834
40.9454,8618
40.9574,8715
40.9694,8786
40.9813,8683
