Gray value 	Voxel count 
-21.6628	1
-21.6557	0
-21.6486	0
-21.6415	0
-21.6345	0
-21.6274	0
-21.6203	0
-21.6132	0
-21.6061	0
-21.5991	0
-21.592	0
-21.5849	0
-21.5778	0
-21.5707	0
-21.5637	0
-21.5566	0
-21.5495	0
-21.5424	0
-21.5354	0
-21.5283	0
-21.5212	0
-21.5141	0
-21.507	0
-21.5	0
-21.4929	0
-21.4858	0
-21.4787	0
-21.4716	0
-21.4646	0
-21.4575	0
-21.4504	0
-21.4433	0
-21.4362	0
-21.4292	0
-21.4221	0
-21.415	0
-21.4079	0
-21.4008	0
-21.3938	0
-21.3867	0
-21.3796	0
-21.3725	0
-21.3654	0
-21.3584	0
-21.3513	0
-21.3442	0
-21.3371	0
-21.33	0
-21.323	0
-21.3159	0
-21.3088	0
-21.3017	0
-21.2946	0
-21.2876	0
-21.2805	0
-21.2734	0
-21.2663	0
-21.2592	0
-21.2522	0
-21.2451	0
-21.238	0
-21.2309	0
-21.2238	0
-21.2168	0
-21.2097	0
-21.2026	0
-21.1955	0
-21.1884	0
-21.1814	0
-21.1743	0
-21.1672	0
-21.1601	0
-21.153	0
-21.146	0
-21.1389	0
-21.1318	0
-21.1247	0
-21.1176	0
-21.1106	0
-21.1035	0
-21.0964	0
-21.0893	0
-21.0822	0
-21.0752	0
-21.0681	0
-21.061	0
-21.0539	0
-21.0468	0
-21.0398	0
-21.0327	0
-21.0256	0
-21.0185	0
-21.0114	0
-21.0044	0
-20.9973	0
-20.9902	0
-20.9831	0
-20.976	0
-20.969	0
-20.9619	0
-20.9548	0
-20.9477	0
-20.9407	0
-20.9336	0
-20.9265	0
-20.9194	0
-20.9123	0
-20.9053	0
-20.8982	0
-20.8911	0
-20.884	0
-20.8769	0
-20.8699	0
-20.8628	0
-20.8557	0
-20.8486	0
-20.8415	0
-20.8345	0
-20.8274	0
-20.8203	0
-20.8132	0
-20.8061	0
-20.7991	0
-20.792	0
-20.7849	0
-20.7778	0
-20.7707	0
-20.7637	0
-20.7566	0
-20.7495	0
-20.7424	0
-20.7353	0
-20.7283	0
-20.7212	0
-20.7141	0
-20.707	0
-20.6999	0
-20.6929	0
-20.6858	0
-20.6787	0
-20.6716	0
-20.6645	0
-20.6575	0
-20.6504	0
-20.6433	0
-20.6362	0
-20.6291	0
-20.6221	0
-20.615	0
-20.6079	0
-20.6008	0
-20.5937	0
-20.5867	0
