Gray value ,Voxel count 
15548,3255
15549,3296
15550,3240
15551,3190
15552,3215
15553,3309
15554,3315
15555,3252
15556,3314
15557,3254
15558,3198
15559,3288
15560,3297
15561,3291
15562,3273
15563,3293
15564,3228
15565,3309
15566,3245
15567,3277
15568,3285
15569,3271
15570,3267
15571,3283
15572,3345
15573,3359
15574,3361
15575,3319
15576,3310
15577,3358
15578,3203
15579,3189
15580,3315
15581,3300
15582,3176
15583,3256
15584,3324
15585,3252
15586,3258
15587,3297
15588,3190
15589,3241
15590,3321
15591,3330
15592,3370
15593,3315
15594,3301
15595,3226
15596,3292
15597,3179
15598,3342
15599,3210
15600,3277
15601,3232
15602,3358
15603,3252
15604,3217
15605,3189
15606,3314
15607,3254
15608,3327
15609,3291
15610,3303
15611,3283
15612,3280
15613,3348
15614,3271
15615,3248
15616,3273
15617,3245
15618,3245
15619,3279
15620,3351
15621,3322
15622,3347
15623,3287
15624,3267
15625,3340
15626,3298
15627,3220
15628,3270
15629,3339
15630,3295
15631,3352
15632,3348
15633,3308
15634,3283
15635,3291
15636,3274
15637,3229
15638,3246
15639,3275
15640,3270
15641,3252
15642,3356
15643,3313
15644,3294
15645,3374
15646,3311
15647,3184
15648,3312
15649,3313
15650,3304
15651,3328
15652,3419
15653,3264
15654,3395
15655,3306
15656,3334
15657,3419
15658,3268
15659,3360
15660,3380
15661,3233
15662,3254
15663,3258
15664,3281
15665,3434
15666,3354
15667,3327
15668,3321
15669,3359
15670,3278
15671,3264
15672,3397
15673,3281
15674,3235
15675,3310
15676,3287
15677,3336
15678,3291
15679,3246
15680,3471
15681,3351
15682,3301
15683,3315
15684,3354
15685,3310
15686,3317
15687,3302
15688,3249
15689,3325
15690,3392
15691,3396
15692,3368
15693,3364
15694,3231
15695,3349
15696,3305
15697,3356
15698,3263
15699,3315
15700,3314
15701,3308
15702,3345
15703,3383
15704,3248
15705,3355
15706,3325
15707,3420
15708,3362
15709,3375
15710,3243
15711,3298
15712,3228
15713,3316
15714,3462
15715,3395
15716,3169
15717,3260
15718,3226
15719,3325
15720,3237
15721,3407
15722,3360
15723,3293
15724,3369
15725,3389
15726,3398
15727,3284
15728,3335
15729,3400
15730,3423
15731,3282
15732,3393
15733,3311
15734,3369
15735,3286
15736,3362
15737,3347
15738,3336
15739,3280
15740,3336
15741,3308
15742,3295
15743,3315
15744,3219
15745,3283
15746,3340
15747,3207
15748,3362
15749,3339
15750,3398
15751,3260
15752,3337
15753,3367
15754,3214
15755,3290
15756,3378
15757,3370
15758,3317
15759,3226
15760,3340
15761,3360
15762,3288
15763,3301
15764,3313
15765,3404
15766,3250
15767,3370
15768,3388
15769,3360
15770,3400
15771,3410
15772,3352
15773,3310
15774,3392
15775,3344
15776,3242
15777,3417
15778,3428
15779,3389
15780,3344
15781,3334
15782,3259
15783,3282
15784,3354
15785,3382
15786,3362
15787,3338
15788,3357
15789,3263
15790,3317
15791,3319
15792,3287
15793,3332
15794,3279
15795,3297
15796,3332
15797,3314
15798,3338
15799,3276
15800,3346
15801,3305
15802,3370
15803,3362
15804,3292
15805,3337
15806,3327
15807,3388
15808,3419
15809,3338
15810,3431
15811,3386
15812,3290
15813,3312
15814,3443
15815,3293
15816,3362
15817,3411
15818,3357
15819,3364
15820,3433
15821,3413
15822,3401
15823,3318
15824,3454
15825,3507
15826,3369
15827,3335
15828,3256
15829,3408
15830,3303
15831,3368
15832,3361
15833,3382
15834,3349
15835,3413
15836,3417
15837,3498
15838,3420
15839,3265
15840,3340
15841,3264
15842,3290
15843,3450
15844,3394
15845,3370
15846,3323
15847,3353
15848,3428
15849,3446
15850,3289
15851,3445
15852,3421
15853,3371
15854,3430
15855,3404
15856,3420
15857,3305
15858,3440
15859,3355
15860,3394
15861,3334
15862,3368
15863,3281
15864,3308
15865,3426
15866,3388
15867,3395
15868,3405
15869,3357
15870,3316
15871,3197
