Gray value ,Voxel count 
20914,3654
20915,3704
20916,3606
20917,3624
20918,3548
20919,3617
20920,3619
20921,3626
20922,3555
20923,3587
20924,3657
20925,3598
20926,3619
20927,3608
20928,3553
20929,3657
20930,3595
20931,3606
20932,3582
20933,3687
20934,3649
20935,3672
20936,3421
20937,3644
20938,3611
20939,3500
20940,3615
20941,3576
20942,3591
20943,3478
20944,3670
20945,3639
20946,3596
20947,3688
20948,3566
20949,3648
20950,3738
20951,3641
20952,3619
20953,3521
20954,3646
20955,3550
20956,3636
20957,3569
20958,3542
20959,3597
20960,3647
20961,3694
20962,3595
20963,3577
20964,3720
20965,3616
20966,3670
20967,3572
20968,3560
20969,3629
20970,3615
20971,3630
20972,3698
20973,3615
20974,3579
20975,3588
20976,3604
20977,3639
20978,3683
20979,3737
20980,3616
20981,3712
20982,3669
20983,3587
20984,3620
20985,3760
20986,3672
20987,3634
20988,3675
20989,3627
20990,3592
20991,3629
20992,3650
20993,3651
20994,3614
20995,3615
20996,3753
20997,3665
20998,3605
20999,3556
21000,3490
21001,3662
21002,3686
21003,3624
21004,3621
21005,3740
21006,3552
21007,3633
21008,3732
21009,3679
21010,3655
21011,3642
21012,3594
21013,3587
21014,3625
21015,3649
21016,3641
21017,3632
21018,3725
21019,3628
21020,3546
21021,3715
21022,3588
21023,3778
21024,3598
21025,3605
21026,3689
21027,3523
21028,3727
21029,3744
21030,3681
21031,3666
21032,3656
21033,3594
21034,3632
21035,3511
21036,3634
21037,3790
21038,3655
21039,3565
21040,3716
21041,3681
21042,3635
21043,3669
21044,3645
21045,3690
21046,3651
21047,3626
21048,3637
21049,3667
21050,3596
21051,3663
21052,3632
21053,3622
21054,3639
21055,3614
21056,3646
21057,3770
21058,3614
21059,3680
21060,3638
21061,3631
21062,3601
21063,3584
21064,3549
21065,3550
21066,3553
21067,3692
21068,3634
21069,3651
21070,3491
21071,3665
21072,3748
21073,3568
21074,3700
21075,3712
21076,3767
21077,3759
21078,3723
21079,3689
21080,3661
21081,3596
21082,3698
21083,3654
21084,3617
21085,3623
21086,3660
21087,3543
21088,3570
21089,3688
21090,3569
21091,3585
21092,3524
21093,3626
21094,3630
21095,3810
21096,3722
21097,3702
21098,3719
21099,3627
21100,3724
21101,3721
21102,3687
21103,3673
21104,3594
21105,3552
21106,3600
21107,3640
21108,3595
21109,3685
21110,3646
21111,3647
21112,3634
21113,3710
21114,3708
21115,3680
21116,3648
21117,3735
21118,3654
21119,3680
21120,3660
21121,3617
21122,3790
21123,3519
21124,3646
21125,3603
21126,3720
21127,3692
21128,3669
21129,3718
21130,3800
21131,3622
21132,3723
21133,3633
21134,3693
21135,3687
21136,3625
21137,3676
21138,3629
21139,3637
21140,3654
21141,3625
21142,3694
21143,3701
21144,3596
21145,3761
21146,3610
21147,3696
21148,3631
21149,3568
21150,3735
21151,3601
21152,3659
21153,3665
21154,3585
21155,3647
21156,3767
21157,3700
21158,3709
21159,3746
21160,3707
21161,3659
21162,3716
21163,3729
21164,3580
21165,3723
21166,3634
21167,3702
21168,3772
21169,3726
21170,3621
21171,3744
21172,3686
21173,3790
21174,3629
21175,3711
21176,3609
21177,3659
21178,3662
21179,3782
21180,3735
21181,3753
21182,3665
21183,3724
21184,3730
21185,3711
21186,3673
21187,3556
21188,3669
21189,3680
21190,3723
21191,3723
21192,3695
21193,3683
21194,3658
21195,3746
21196,3654
21197,3696
21198,3641
21199,3719
21200,3751
21201,3800
21202,3733
21203,3701
21204,3671
21205,3674
21206,3787
21207,3675
21208,3628
21209,3715
21210,3726
21211,3726
21212,3643
21213,3629
21214,3828
21215,3725
21216,3673
21217,3728
21218,3628
21219,3646
21220,3666
21221,3657
21222,3629
21223,3702
21224,3632
21225,3582
21226,3621
21227,3708
21228,3758
21229,3741
21230,3695
21231,3887
21232,3634
21233,3735
21234,3746
21235,3751
21236,3651
21237,3803
21238,3775
21239,3727
21240,3699
21241,3699
21242,3740
21243,3664
21244,3741
21245,3650
21246,3652
21247,3638
21248,3681
21249,3649
21250,3673
21251,3657
21252,3701
21253,3713
21254,3756
21255,3741
21256,3617
21257,3718
21258,3679
21259,3634
21260,3688
21261,3730
21262,3673
21263,3687
21264,3633
21265,3619
21266,3700
21267,3811
21268,3767
21269,3733
21270,3838
21271,3657
21272,3620
21273,3777
21274,3737
21275,3698
21276,3751
21277,3719
21278,3616
21279,3756
21280,3640
21281,3701
21282,3738
21283,3624
21284,3687
21285,3747
21286,3789
21287,3654
21288,3685
21289,3651
21290,3737
21291,3673
21292,3752
21293,3717
21294,3611
21295,3588
21296,3799
21297,3800
21298,3705
21299,3739
21300,3699
21301,3665
21302,3708
21303,3705
21304,3781
21305,3686
21306,3716
21307,3759
21308,3734
21309,3624
21310,3681
21311,3773
21312,3788
21313,3734
21314,3770
