Gray value ,Voxel count 
19485,1449
19486,1478
19487,1484
19488,1500
19489,1409
19490,1545
19491,1470
19492,1512
19493,1496
19494,1532
19495,1471
19496,1508
19497,1504
19498,1509
19499,1446
19500,1492
19501,1497
19502,1525
19503,1507
19504,1498
19505,1450
19506,1529
19507,1500
19508,1495
19509,1477
19510,1499
19511,1468
19512,1552
19513,1490
19514,1561
19515,1587
19516,1516
19517,1534
19518,1474
19519,1502
19520,1532
19521,1540
19522,1526
19523,1537
19524,1492
19525,1467
19526,1471
19527,1559
19528,1502
19529,1531
19530,1529
19531,1560
19532,1569
19533,1476
19534,1577
19535,1619
19536,1535
19537,1529
19538,1473
19539,1494
19540,1605
19541,1538
19542,1523
19543,1580
19544,1514
19545,1576
19546,1563
19547,1568
19548,1679
19549,1698
19550,1503
19551,1586
19552,1544
19553,1609
19554,1533
19555,1548
19556,1492
19557,1576
19558,1492
19559,1495
19560,1521
19561,1519
19562,1607
19563,1571
19564,1592
19565,1531
19566,1657
19567,1573
19568,1591
19569,1564
19570,1607
19571,1552
19572,1539
19573,1562
19574,1595
19575,1578
19576,1607
19577,1574
19578,1602
19579,1592
19580,1631
19581,1550
19582,1580
19583,1549
19584,1635
19585,1630
19586,1582
19587,1728
19588,1565
19589,1585
19590,1673
19591,1608
19592,1666
19593,1628
19594,1649
19595,1585
19596,1661
19597,1625
19598,1633
19599,1637
19600,1615
19601,1598
19602,1575
19603,1613
19604,1611
19605,1671
19606,1601
19607,1640
19608,1630
19609,1551
19610,1635
19611,1676
19612,1547
19613,1620
19614,1640
19615,1586
19616,1655
19617,1618
19618,1657
19619,1615
19620,1617
19621,1642
19622,1665
19623,1644
19624,1576
19625,1691
19626,1699
19627,1674
19628,1632
19629,1623
19630,1665
19631,1586
19632,1691
19633,1662
19634,1640
19635,1664
19636,1686
19637,1672
19638,1598
19639,1704
19640,1701
19641,1653
19642,1679
19643,1702
19644,1664
19645,1711
19646,1706
19647,1746
19648,1692
19649,1707
19650,1643
19651,1592
19652,1680
19653,1729
19654,1688
19655,1740
19656,1649
19657,1706
19658,1680
19659,1673
19660,1670
19661,1698
19662,1696
19663,1646
19664,1680
19665,1698
19666,1668
19667,1619
19668,1719
19669,1772
19670,1671
19671,1723
19672,1651
19673,1732
19674,1735
19675,1739
19676,1744
19677,1712
19678,1721
19679,1734
19680,1693
19681,1691
19682,1663
19683,1687
19684,1741
19685,1721
19686,1662
19687,1716
19688,1678
19689,1691
19690,1744
19691,1758
19692,1802
19693,1703
19694,1702
19695,1670
19696,1754
19697,1678
19698,1718
19699,1717
19700,1764
19701,1757
19702,1763
19703,1677
19704,1673
19705,1722
19706,1693
19707,1813
19708,1691
19709,1699
19710,1786
19711,1771
19712,1714
19713,1775
19714,1679
19715,1770
19716,1792
19717,1832
19718,1720
19719,1716
19720,1717
19721,1791
19722,1717
19723,1790
19724,1765
19725,1709
19726,1784
19727,1661
19728,1827
19729,1812
19730,1775
19731,1761
19732,1704
19733,1774
19734,1727
19735,1708
19736,1783
19737,1797
19738,1808
19739,1826
19740,1788
19741,1836
19742,1801
19743,1822
19744,1793
19745,1841
19746,1824
19747,1758
19748,1805
19749,1848
19750,1813
19751,1845
19752,1835
19753,1720
19754,1775
19755,1779
19756,1790
19757,1856
19758,1770
19759,1870
19760,1843
19761,1761
19762,1774
19763,1824
19764,1841
19765,1820
19766,1781
19767,1822
19768,1795
19769,1842
19770,1797
19771,1842
19772,1850
19773,1812
19774,1838
19775,1884
19776,1875
19777,1854
19778,1777
19779,1908
19780,1859
19781,1855
19782,1902
19783,1854
19784,1854
19785,1887
19786,1810
19787,1834
19788,1880
19789,1811
19790,1813
19791,1832
19792,1799
19793,1810
19794,1968
19795,1843
19796,1793
19797,1917
19798,1913
19799,1866
19800,1872
19801,1822
19802,1784
19803,1893
19804,1908
19805,1867
19806,1860
19807,1859
19808,1877
19809,1926
19810,1873
19811,1981
19812,1845
19813,1848
19814,1952
19815,1852
19816,1846
19817,1908
19818,1852
19819,1897
19820,1822
19821,1924
19822,1932
19823,1897
19824,1915
19825,1933
19826,1906
19827,1980
19828,1876
19829,1846
19830,1878
19831,1938
19832,1872
19833,1971
19834,1914
19835,1923
19836,1856
19837,1990
19838,1889
19839,1885
19840,1950
19841,2005
19842,1872
19843,1924
19844,1892
19845,1932
19846,1904
19847,1858
19848,1893
19849,1999
19850,1962
19851,1945
19852,1932
19853,1887
19854,1855
19855,1960
19856,1943
19857,1927
19858,2021
19859,1928
19860,2004
19861,1975
19862,1938
19863,1964
19864,1935
19865,2005
19866,1862
19867,1874
19868,2087
19869,1980
19870,2043
19871,1943
19872,1968
19873,2080
19874,1963
19875,1978
19876,2051
19877,1952
19878,1919
19879,1950
19880,1988
19881,1959
19882,1908
19883,2022
19884,2007
19885,1956
19886,1932
19887,2093
19888,2012
19889,1995
19890,2066
19891,2021
19892,2007
19893,2017
19894,2012
19895,2062
19896,1980
19897,2042
19898,2016
19899,2006
19900,1945
19901,2087
19902,2032
19903,1977
19904,2101
19905,2017
19906,2051
19907,2032
19908,2028
19909,1974
19910,2039
19911,2071
19912,2030
19913,1977
19914,1990
19915,2026
19916,2089
19917,2105
19918,2144
19919,2003
19920,2016
19921,2078
19922,1975
19923,2044
19924,1985
19925,2015
19926,2080
19927,2007
19928,2062
19929,2069
19930,2065
19931,2082
19932,2080
19933,2095
19934,2085
19935,2019
19936,2079
19937,2019
19938,2068
19939,2129
19940,2150
19941,2109
19942,2021
19943,2071
19944,2122
19945,2125
19946,2059
19947,2105
19948,2119
19949,1951
19950,2114
19951,2045
19952,2198
19953,2108
19954,2129
19955,2051
19956,2141
19957,2071
19958,2146
19959,2131
19960,2140
19961,2027
19962,2128
19963,2095
19964,2080
19965,2094
19966,2059
19967,2102
19968,2117
19969,2074
19970,2188
19971,2122
19972,2179
19973,2114
19974,2150
19975,2006
19976,2113
19977,2127
19978,2080
19979,2193
19980,2102
19981,2097
19982,2102
19983,2089
19984,2144
19985,2166
19986,2101
19987,2074
19988,2151
19989,2187
19990,2180
19991,2178
19992,2168
19993,2232
19994,2182
19995,2206
19996,2224
19997,2234
