Gray value ,Voxel count 
13211,1649
13212,1604
13213,1607
13214,1608
13215,1518
13216,1675
13217,1539
13218,1669
13219,1670
13220,1659
13221,1558
13222,1637
13223,1579
13224,1619
13225,1620
13226,1612
13227,1624
13228,1597
13229,1662
13230,1624
13231,1633
13232,1618
13233,1582
13234,1584
13235,1579
13236,1556
13237,1656
13238,1615
13239,1552
13240,1655
13241,1608
13242,1567
13243,1608
13244,1592
13245,1591
13246,1599
13247,1641
13248,1610
13249,1598
13250,1644
13251,1643
13252,1582
13253,1637
13254,1693
13255,1641
13256,1626
13257,1615
13258,1675
13259,1605
13260,1595
13261,1618
13262,1558
13263,1586
13264,1634
13265,1543
13266,1608
13267,1634
13268,1577
13269,1608
13270,1580
13271,1601
13272,1685
13273,1631
13274,1617
13275,1647
13276,1623
13277,1595
13278,1644
13279,1626
13280,1650
13281,1621
13282,1520
13283,1617
13284,1589
13285,1651
13286,1601
13287,1621
13288,1601
13289,1562
13290,1599
13291,1604
13292,1627
13293,1650
13294,1602
13295,1610
13296,1652
13297,1595
13298,1525
13299,1682
13300,1679
13301,1612
13302,1545
13303,1593
13304,1605
13305,1722
13306,1605
13307,1583
13308,1642
13309,1692
13310,1599
13311,1697
13312,1544
13313,1648
13314,1594
13315,1594
13316,1646
13317,1676
13318,1588
13319,1642
13320,1629
13321,1634
13322,1621
13323,1560
13324,1605
13325,1598
13326,1579
13327,1673
13328,1665
13329,1578
13330,1563
13331,1587
13332,1634
13333,1634
13334,1606
13335,1676
13336,1673
13337,1590
13338,1610
13339,1580
13340,1665
13341,1631
13342,1637
13343,1657
13344,1625
13345,1614
13346,1631
13347,1574
13348,1638
13349,1631
13350,1662
13351,1686
13352,1671
13353,1649
13354,1601
13355,1586
13356,1649
13357,1647
13358,1589
13359,1636
13360,1621
13361,1572
13362,1610
13363,1640
13364,1634
13365,1642
13366,1659
13367,1661
13368,1676
13369,1628
13370,1574
13371,1640
13372,1619
13373,1634
13374,1703
13375,1698
13376,1600
13377,1624
13378,1675
13379,1633
13380,1625
13381,1693
13382,1660
13383,1704
13384,1650
13385,1682
13386,1627
13387,1648
13388,1635
13389,1590
13390,1635
13391,1663
13392,1710
13393,1620
13394,1648
13395,1733
13396,1654
13397,1660
13398,1646
13399,1688
13400,1668
13401,1667
13402,1656
13403,1681
13404,1628
13405,1633
13406,1594
13407,1641
13408,1684
13409,1611
13410,1599
13411,1643
13412,1621
13413,1610
13414,1669
13415,1726
13416,1679
13417,1636
13418,1675
13419,1611
13420,1640
13421,1648
13422,1682
13423,1740
13424,1679
13425,1743
13426,1719
13427,1683
13428,1588
13429,1640
13430,1622
13431,1656
13432,1638
13433,1683
13434,1718
13435,1637
13436,1663
13437,1685
13438,1727
13439,1670
13440,1671
13441,1625
13442,1610
13443,1676
13444,1723
13445,1632
13446,1697
13447,1678
13448,1698
13449,1740
13450,1633
13451,1745
13452,1652
13453,1651
13454,1750
13455,1646
13456,1655
13457,1688
13458,1658
13459,1660
13460,1710
13461,1709
13462,1664
13463,1685
13464,1707
13465,1632
13466,1709
13467,1760
13468,1653
13469,1654
13470,1717
13471,1698
13472,1700
13473,1700
13474,1670
13475,1671
13476,1687
13477,1732
13478,1655
13479,1693
13480,1719
13481,1663
13482,1675
13483,1679
13484,1663
13485,1647
13486,1700
13487,1679
13488,1698
13489,1600
13490,1716
13491,1690
13492,1607
13493,1713
13494,1649
13495,1716
13496,1650
13497,1725
13498,1708
13499,1614
13500,1703
13501,1768
13502,1705
13503,1690
13504,1779
13505,1669
13506,1651
13507,1583
13508,1697
13509,1687
13510,1707
13511,1668
13512,1720
13513,1654
13514,1657
13515,1664
13516,1781
13517,1740
13518,1757
13519,1663
13520,1726
13521,1754
13522,1630
13523,1795
13524,1696
13525,1717
13526,1739
13527,1811
13528,1660
13529,1758
13530,1691
13531,1714
13532,1766
13533,1729
13534,1681
13535,1773
13536,1593
