Gray value ,Voxel count 
0,569377
1,2864
2,2863
3,2881
4,2856
5,2917
6,2951
7,2957
8,2928
9,2885
10,2989
11,3047
12,2984
13,3047
14,2995
15,3018
16,3053
17,3099
18,3183
19,3219
20,3278
21,3219
22,3168
23,3089
24,3203
25,3379
26,3302
27,3350
28,3280
29,3380
30,3301
31,3388
32,3356
33,3402
34,3475
35,3545
36,3503
37,3481
38,3498
39,3551
40,3541
41,3493
42,3510
43,3626
44,3593
45,3610
46,3668
47,3656
48,3649
49,3609
50,3689
51,3764
52,3669
53,3769
54,3778
55,3895
56,3876
57,3864
58,3952
59,3856
60,3902
61,3864
62,3936
63,3959
64,3991
65,3987
66,3993
67,4089
68,4144
69,4124
70,4169
71,4137
72,4265
73,4203
74,4288
75,4282
76,4264
77,4254
78,4254
79,4340
80,4310
81,4455
82,4480
83,4425
84,4437
85,4460
86,4512
87,4533
88,4616
89,4479
90,4706
91,4711
92,4501
93,4652
94,4674
95,4810
96,4717
97,4790
98,4804
99,4778
100,4839
101,4864
102,4829
103,5014
104,4940
105,5051
106,5079
107,5012
108,5069
109,5150
110,5176
111,5054
112,5189
113,5214
114,5246
115,5360
116,5338
117,5380
118,5366
119,5436
120,5273
121,5573
122,5390
123,5537
124,5578
125,5529
126,5693
127,5601
128,5734
129,5625
130,5810
131,5726
132,5771
133,5833
134,5859
135,5818
136,5884
137,5826
138,5954
139,6056
140,5987
141,5911
142,6022
143,6078
144,6250
145,6128
146,6145
147,6196
148,6261
149,6306
150,6380
151,6560
152,6580
153,6443
154,6463
155,6465
156,6754
157,6433
158,6581
159,6794
160,6566
161,6813
162,6864
163,6696
164,7049
165,6916
166,6866
167,6886
168,6973
169,6970
170,7052
171,7081
172,7087
173,7035
174,7224
175,7292
176,7307
177,7163
178,7396
179,7492
180,7542
181,7382
182,7648
183,7610
184,7711
185,7600
186,7729
187,7749
188,7762
189,7755
190,7962
191,7983
192,8081
193,7923
194,8021
195,8027
196,7990
197,8321
198,8181
199,8350
200,8225
201,8405
202,8543
203,8396
204,8421
205,8452
206,8472
207,8506
208,8631
209,8665
210,8707
211,8856
212,8746
213,9119
214,8876
215,9077
216,8945
217,9065
218,9306
219,9070
220,9254
221,9343
222,9528
223,9298
224,9456
225,9500
226,9551
227,9403
228,9511
229,9635
230,9794
231,9766
232,9859
233,9891
