Gray value ,Voxel count 
11171,896
11172,885
11173,889
11174,829
11175,887
11176,850
11177,829
11178,871
11179,898
11180,881
11181,879
11182,838
11183,851
11184,857
11185,836
11186,899
11187,894
11188,840
11189,911
11190,805
11191,874
11192,850
11193,909
11194,857
11195,859
11196,874
11197,869
11198,876
11199,816
11200,878
11201,872
11202,854
11203,903
11204,924
11205,887
11206,910
11207,937
11208,898
11209,877
11210,885
11211,855
11212,845
11213,882
11214,879
11215,889
11216,882
11217,864
11218,890
11219,864
11220,891
11221,932
11222,881
11223,918
11224,930
11225,913
11226,898
11227,834
11228,852
11229,851
11230,894
11231,891
11232,832
11233,843
11234,891
11235,833
11236,832
11237,858
11238,869
11239,866
11240,883
11241,882
11242,871
11243,861
11244,889
11245,914
11246,887
11247,843
11248,835
11249,908
11250,862
11251,846
11252,906
11253,913
11254,862
11255,854
11256,874
11257,844
11258,854
11259,903
11260,899
11261,903
11262,902
11263,918
11264,905
11265,885
11266,904
11267,848
11268,857
11269,838
11270,878
11271,877
11272,922
11273,855
11274,866
11275,865
11276,906
11277,878
11278,851
11279,852
11280,901
11281,907
11282,879
11283,801
11284,896
11285,834
11286,875
11287,887
11288,899
11289,872
11290,844
11291,876
11292,854
11293,892
11294,868
11295,911
11296,920
11297,870
11298,892
11299,864
11300,933
11301,866
11302,858
11303,905
11304,811
11305,857
11306,846
11307,862
11308,824
11309,823
11310,900
11311,852
11312,837
11313,869
11314,954
11315,893
11316,878
11317,889
11318,877
11319,876
11320,908
11321,903
11322,847
11323,908
11324,947
11325,865
11326,848
11327,847
11328,853
11329,893
11330,910
11331,851
11332,876
11333,859
11334,861
11335,884
11336,883
11337,864
11338,868
11339,832
11340,870
11341,877
11342,846
11343,891
11344,887
11345,869
11346,845
11347,806
11348,877
11349,865
11350,853
11351,863
11352,838
11353,903
11354,820
11355,904
11356,914
11357,866
11358,852
11359,897
11360,869
11361,861
11362,897
11363,880
11364,868
11365,866
11366,847
11367,864
11368,868
11369,865
11370,905
11371,932
11372,890
11373,904
11374,882
11375,815
11376,930
11377,941
11378,920
11379,872
11380,861
11381,937
11382,874
11383,842
11384,888
11385,900
11386,852
11387,867
11388,918
11389,829
11390,879
11391,899
11392,913
11393,903
11394,837
11395,888
11396,894
11397,945
11398,831
11399,833
11400,948
11401,847
11402,892
11403,856
11404,896
11405,860
11406,842
11407,868
11408,910
11409,886
11410,924
11411,851
11412,844
11413,849
11414,860
11415,889
11416,909
11417,884
11418,886
11419,909
11420,825
11421,837
11422,895
11423,895
11424,835
11425,870
11426,851
11427,865
11428,867
11429,842
11430,896
11431,881
11432,869
11433,966
11434,900
11435,828
11436,941
11437,856
11438,878
11439,839
11440,900
11441,893
11442,874
11443,877
11444,873
11445,888
11446,833
11447,852
11448,852
11449,879
11450,912
11451,854
11452,847
11453,887
11454,860
11455,843
11456,828
11457,841
11458,870
11459,914
11460,905
11461,883
11462,864
11463,783
11464,835
11465,849
11466,853
11467,847
11468,906
11469,875
11470,881
11471,845
11472,880
11473,879
11474,909
11475,846
11476,909
11477,870
11478,907
11479,928
11480,843
11481,896
11482,858
11483,907
11484,879
11485,849
11486,886
11487,841
11488,847
11489,885
11490,884
11491,842
11492,806
11493,842
11494,853
11495,902
11496,852
11497,840
11498,897
11499,860
11500,861
11501,884
11502,865
11503,949
11504,843
11505,860
11506,914
11507,837
11508,924
11509,899
11510,828
11511,854
11512,850
11513,891
11514,888
11515,845
11516,864
11517,843
11518,900
11519,896
11520,910
11521,923
11522,866
11523,833
11524,834
11525,870
11526,864
11527,818
11528,915
11529,896
11530,862
11531,898
11532,883
11533,835
11534,820
11535,897
11536,839
11537,844
11538,847
11539,833
11540,894
11541,870
11542,897
11543,895
11544,905
11545,815
11546,884
11547,886
11548,869
11549,874
11550,847
11551,855
11552,877
11553,860
11554,843
11555,847
11556,851
11557,839
11558,877
11559,866
11560,881
11561,854
11562,843
11563,848
11564,884
11565,812
11566,861
11567,851
11568,834
11569,863
11570,887
11571,879
11572,842
11573,874
11574,878
11575,883
11576,891
11577,885
11578,908
11579,866
11580,839
11581,892
11582,915
11583,881
11584,838
11585,868
11586,896
11587,882
11588,903
11589,840
11590,873
11591,870
11592,867
11593,822
11594,867
11595,883
11596,833
11597,899
11598,826
11599,852
11600,872
11601,889
11602,868
11603,854
11604,882
11605,884
11606,892
11607,838
11608,858
11609,831
11610,923
11611,917
11612,871
11613,877
11614,834
11615,905
11616,880
11617,869
11618,865
11619,879
11620,851
11621,849
11622,863
11623,856
11624,883
11625,891
11626,897
11627,853
11628,854
11629,867
11630,863
11631,876
11632,873
11633,830
11634,911
11635,854
11636,876
11637,856
11638,875
11639,864
11640,886
11641,874
11642,862
11643,846
11644,866
11645,870
11646,842
11647,869
11648,820
11649,860
11650,889
11651,878
11652,905
11653,820
11654,867
11655,916
11656,927
11657,914
11658,905
11659,894
11660,890
11661,837
11662,848
11663,859
11664,882
11665,853
11666,887
11667,844
11668,868
11669,891
11670,811
11671,883
11672,889
11673,850
11674,894
11675,833
11676,884
11677,912
11678,833
11679,871
11680,821
11681,877
11682,919
11683,865
11684,927
11685,842
11686,882
11687,833
11688,901
11689,898
11690,911
11691,852
11692,901
11693,875
11694,804
11695,906
11696,825
11697,834
11698,841
11699,868
11700,864
11701,868
11702,822
11703,898
11704,846
11705,924
11706,899
11707,892
11708,857
11709,883
11710,882
11711,855
11712,865
11713,877
11714,822
11715,875
11716,849
11717,883
11718,877
11719,868
11720,856
11721,830
11722,810
11723,851
11724,896
11725,859
11726,889
11727,894
11728,906
11729,843
11730,847
11731,838
11732,872
11733,846
11734,833
11735,875
11736,876
11737,853
11738,858
11739,848
11740,860
11741,850
11742,836
11743,847
11744,865
11745,881
11746,829
11747,880
11748,874
11749,875
11750,874
11751,864
11752,856
11753,919
11754,887
11755,883
11756,782
11757,816
11758,885
11759,894
11760,814
11761,812
11762,923
11763,817
11764,859
11765,790
11766,808
11767,887
11768,858
11769,863
11770,870
11771,858
11772,901
11773,835
11774,878
11775,870
11776,874
11777,843
11778,933
11779,926
11780,827
11781,904
11782,850
11783,888
11784,812
11785,876
11786,815
11787,860
11788,792
11789,872
11790,835
11791,822
11792,856
11793,843
11794,889
11795,880
11796,864
11797,901
11798,853
11799,835
11800,904
11801,918
11802,873
11803,854
11804,862
11805,856
11806,898
11807,856
11808,818
11809,851
11810,882
11811,811
11812,848
11813,886
11814,796
11815,835
11816,818
11817,826
11818,895
11819,856
11820,856
11821,865
11822,852
11823,879
11824,901
11825,909
11826,835
11827,926
11828,871
11829,820
11830,873
11831,839
11832,845
11833,852
11834,862
11835,875
11836,836
11837,873
11838,869
11839,841
11840,779
11841,869
11842,882
11843,873
11844,820
11845,847
11846,819
11847,879
11848,814
11849,824
11850,819
11851,883
11852,855
11853,894
11854,907
11855,861
11856,849
11857,890
11858,848
11859,897
11860,907
11861,856
11862,832
11863,887
11864,866
11865,859
11866,847
11867,856
11868,914
11869,876
11870,921
11871,895
11872,912
11873,869
11874,864
11875,883
11876,875
11877,823
11878,863
11879,858
11880,817
11881,869
11882,824
11883,917
11884,869
11885,856
11886,872
11887,857
11888,856
11889,866
11890,842
11891,829
11892,855
11893,840
11894,880
11895,915
11896,874
11897,830
11898,846
11899,851
11900,887
11901,868
11902,849
11903,860
11904,859
11905,853
11906,867
11907,870
11908,860
11909,881
11910,888
11911,883
11912,878
11913,858
11914,867
11915,892
11916,828
11917,898
11918,805
11919,858
11920,861
11921,807
11922,876
11923,876
11924,871
11925,845
11926,865
11927,826
11928,851
11929,927
11930,846
11931,852
11932,865
11933,874
11934,855
11935,865
11936,885
11937,858
11938,867
11939,859
11940,909
11941,833
11942,904
11943,867
11944,899
11945,866
11946,891
11947,859
11948,856
11949,852
11950,834
11951,812
11952,839
11953,792
11954,900
11955,851
11956,862
11957,872
11958,862
11959,861
11960,927
11961,857
11962,860
11963,866
11964,836
11965,851
11966,859
11967,921
11968,888
11969,854
11970,837
11971,833
11972,887
11973,852
11974,851
11975,859
11976,896
11977,905
11978,857
11979,856
11980,828
11981,874
11982,851
11983,828
11984,875
11985,904
11986,894
11987,885
11988,852
11989,872
11990,884
11991,865
11992,874
11993,893
11994,836
11995,841
11996,834
11997,846
11998,830
11999,858
12000,838
12001,883
12002,902
12003,823
12004,896
12005,906
12006,880
12007,786
12008,866
12009,863
12010,861
12011,849
12012,865
12013,858
12014,856
12015,852
12016,832
12017,882
12018,841
12019,845
12020,893
12021,849
12022,832
12023,831
12024,884
12025,894
12026,890
12027,863
12028,860
12029,872
12030,888
12031,871
12032,840
12033,879
12034,838
12035,876
12036,863
12037,853
12038,861
12039,906
12040,873
12041,846
12042,900
12043,877
12044,830
12045,887
12046,871
12047,867
12048,862
12049,853
12050,894
12051,819
12052,857
12053,862
12054,890
12055,853
12056,893
12057,883
12058,906
12059,803
12060,880
12061,851
12062,858
12063,817
12064,828
12065,888
12066,880
12067,932
12068,844
12069,914
12070,847
12071,812
12072,771
12073,873
12074,889
12075,842
12076,901
12077,838
12078,824
12079,830
12080,840
12081,898
12082,858
12083,844
12084,842
12085,869
12086,895
12087,844
12088,865
12089,786
12090,848
12091,824
12092,895
12093,807
12094,887
12095,861
12096,854
12097,861
12098,881
12099,897
12100,862
12101,931
12102,854
12103,846
12104,839
12105,870
12106,844
12107,851
12108,828
12109,860
12110,900
12111,891
12112,864
12113,842
12114,809
12115,853
12116,840
12117,891
12118,817
12119,912
12120,840
12121,904
12122,854
12123,877
12124,850
12125,852
12126,869
12127,843
12128,862
12129,883
12130,886
12131,847
12132,857
12133,840
12134,821
12135,854
12136,881
12137,847
12138,915
12139,839
12140,874
12141,852
12142,916
12143,899
12144,873
12145,897
12146,871
12147,926
12148,847
12149,905
12150,861
12151,894
12152,872
12153,829
12154,904
12155,881
12156,868
12157,883
12158,909
12159,874
12160,872
12161,872
12162,860
12163,849
12164,893
12165,860
12166,853
12167,860
12168,855
12169,882
12170,878
12171,866
12172,865
12173,837
12174,824
12175,834
12176,894
12177,839
12178,849
12179,851
12180,859
12181,800
12182,871
12183,890
12184,923
12185,821
12186,874
12187,881
12188,842
12189,900
12190,906
12191,822
12192,913
12193,793
12194,858
12195,901
12196,844
12197,861
12198,803
12199,889
12200,838
12201,805
12202,827
12203,906
12204,871
12205,885
12206,880
12207,826
12208,853
12209,872
12210,844
12211,840
12212,826
12213,828
12214,844
12215,837
12216,890
12217,900
12218,860
12219,843
12220,835
12221,840
12222,851
12223,871
12224,840
12225,834
12226,833
12227,797
12228,886
12229,870
12230,891
12231,899
12232,828
12233,875
12234,846
12235,875
12236,829
12237,848
12238,843
12239,853
12240,826
12241,915
12242,838
12243,858
12244,846
12245,864
12246,891
12247,825
12248,793
12249,861
12250,897
12251,838
12252,779
12253,872
12254,838
12255,890
12256,835
12257,887
12258,843
12259,871
12260,802
12261,857
12262,843
12263,910
12264,891
12265,857
12266,886
12267,911
