Gray value ,Voxel count 
13387,2314
13388,2380
13389,2501
13390,2342
13391,2263
13392,2423
13393,2317
13394,2345
13395,2295
13396,2303
13397,2410
13398,2404
13399,2315
13400,2399
13401,2325
13402,2323
13403,2232
13404,2361
13405,2405
13406,2446
13407,2458
13408,2323
13409,2354
13410,2337
13411,2346
13412,2377
13413,2368
13414,2376
13415,2342
13416,2330
13417,2344
13418,2361
13419,2280
13420,2364
13421,2387
13422,2431
13423,2428
13424,2425
13425,2334
13426,2400
13427,2404
13428,2452
13429,2437
13430,2420
13431,2547
13432,2336
13433,2435
13434,2390
13435,2474
13436,2419
13437,2387
13438,2363
13439,2508
13440,2371
13441,2422
13442,2431
13443,2393
13444,2430
13445,2461
13446,2298
13447,2414
13448,2399
13449,2471
13450,2441
13451,2392
13452,2398
13453,2409
13454,2353
13455,2356
13456,2408
13457,2422
13458,2409
13459,2415
13460,2387
13461,2374
13462,2465
13463,2442
13464,2406
13465,2476
13466,2460
13467,2412
13468,2495
13469,2416
13470,2482
13471,2406
13472,2387
13473,2430
13474,2386
13475,2507
13476,2419
13477,2502
13478,2406
13479,2461
13480,2418
13481,2459
13482,2531
13483,2507
13484,2433
13485,2441
13486,2380
13487,2302
13488,2419
13489,2517
13490,2445
13491,2441
13492,2405
13493,2424
13494,2458
13495,2511
13496,2547
13497,2463
13498,2359
13499,2424
13500,2463
13501,2493
13502,2493
13503,2426
13504,2587
13505,2431
13506,2493
13507,2466
13508,2398
13509,2598
13510,2414
13511,2506
13512,2476
13513,2432
13514,2439
13515,2464
13516,2527
13517,2521
13518,2450
13519,2532
13520,2376
13521,2515
13522,2482
13523,2515
13524,2546
13525,2481
13526,2543
13527,2572
13528,2503
13529,2468
13530,2540
13531,2503
13532,2518
13533,2460
13534,2516
13535,2418
13536,2566
13537,2603
13538,2571
13539,2558
13540,2441
13541,2409
13542,2540
13543,2410
13544,2475
13545,2585
13546,2512
13547,2500
13548,2422
13549,2616
13550,2496
13551,2564
13552,2533
13553,2459
13554,2604
13555,2562
13556,2481
13557,2514
13558,2546
13559,2580
13560,2564
13561,2541
13562,2579
13563,2591
13564,2555
13565,2587
13566,2523
13567,2559
13568,2607
13569,2501
13570,2575
13571,2536
13572,2542
13573,2531
13574,2596
13575,2463
13576,2682
13577,2599
13578,2548
13579,2583
13580,2560
13581,2473
13582,2560
13583,2570
13584,2576
13585,2622
13586,2483
13587,2564
13588,2538
13589,2623
13590,2593
13591,2577
13592,2521
13593,2556
13594,2558
13595,2538
13596,2611
13597,2632
13598,2568
13599,2549
13600,2605
13601,2529
13602,2609
13603,2547
13604,2636
13605,2620
13606,2684
13607,2662
13608,2656
13609,2687
13610,2549
13611,2590
13612,2535
13613,2594
13614,2610
13615,2549
13616,2594
13617,2518
13618,2560
13619,2578
13620,2559
13621,2640
13622,2581
13623,2540
13624,2580
13625,2606
13626,2515
13627,2545
13628,2596
13629,2558
13630,2600
13631,2750
13632,2729
13633,2539
13634,2614
13635,2626
13636,2611
13637,2717
13638,2611
13639,2560
13640,2653
13641,2643
13642,2612
13643,2742
13644,2616
13645,2618
13646,2646
13647,2648
13648,2640
13649,2585
13650,2745
13651,2683
13652,2719
13653,2674
13654,2689
13655,2584
13656,2647
13657,2635
13658,2683
13659,2663
13660,2655
13661,2683
13662,2621
13663,2742
13664,2632
13665,2718
13666,2734
13667,2644
13668,2694
13669,2628
13670,2681
13671,2679
13672,2727
13673,2644
13674,2692
13675,2633
13676,2802
13677,2722
13678,2655
13679,2631
13680,2665
13681,2622
13682,2719
13683,2631
13684,2670
13685,2664
13686,2747
13687,2702
13688,2698
13689,2692
13690,2733
13691,2761
13692,2711
13693,2740
13694,2779
13695,2728
13696,2707
13697,2796
13698,2739
13699,2771
13700,2709
13701,2764
13702,2740
13703,2698
13704,2685
13705,2692
13706,2727
13707,2766
13708,2713
13709,2709
13710,2693
13711,2754
13712,2649
13713,2759
13714,2740
13715,2610
13716,2751
13717,2779
13718,2774
13719,2712
13720,2785
13721,2753
13722,2771
13723,2662
13724,2774
13725,2719
13726,2733
13727,2773
13728,2700
13729,2850
13730,2718
13731,2787
13732,2807
13733,2739
13734,2720
13735,2775
13736,2712
13737,2846
13738,2790
13739,2728
13740,2822
13741,2710
13742,2746
13743,2832
13744,2764
13745,2773
13746,2827
13747,2704
13748,2763
13749,2827
13750,2774
13751,2840
13752,2807
13753,2783
13754,2859
13755,2762
13756,2835
13757,2822
13758,2791
13759,2840
13760,2842
13761,2818
13762,2740
13763,2801
13764,2812
13765,2829
13766,2730
13767,2852
13768,2899
13769,2875
13770,2751
13771,2854
13772,2794
13773,2858
13774,2849
13775,2830
13776,2851
13777,2856
13778,2874
13779,2840
13780,2909
13781,2835
13782,2874
13783,2791
13784,2924
13785,2847
13786,2829
13787,2850
13788,2806
13789,2838
13790,2806
13791,2833
13792,2916
13793,2932
13794,2837
13795,2833
13796,2855
13797,2898
13798,2894
13799,2755
13800,2877
13801,2830
13802,2920
13803,2869
13804,2830
13805,2811
13806,2788
13807,2745
13808,2885
13809,2891
13810,2894
13811,2801
13812,2877
13813,2946
13814,2864
13815,2931
13816,2991
13817,2880
13818,2884
13819,2942
13820,2834
13821,2898
13822,2901
13823,2833
13824,2939
13825,2952
13826,2937
13827,2871
13828,2966
13829,2910
13830,2916
13831,2864
13832,2970
13833,2919
13834,2978
13835,2928
13836,2890
13837,3002
13838,2965
13839,2967
13840,3095
13841,2922
13842,2857
13843,2986
13844,2882
13845,2949
13846,2924
13847,2978
13848,2999
13849,2924
13850,2929
13851,2996
13852,3067
13853,2989
13854,2966
13855,2966
13856,3074
13857,2956
13858,2912
13859,3053
13860,2852
13861,2942
13862,2943
13863,3056
13864,2902
13865,3057
13866,2918
13867,3098
13868,2932
13869,3066
13870,3078
13871,3047
13872,3061
13873,3033
13874,3087
13875,3083
13876,3088
13877,3022
13878,3045
13879,3067
13880,2971
13881,2975
13882,2974
13883,3015
13884,2998
13885,3004
13886,3026
13887,3060
13888,3025
13889,2974
13890,3061
13891,3074
13892,2967
13893,2985
13894,3047
13895,3046
13896,2919
13897,3102
13898,3219
13899,3069
13900,3086
13901,3037
13902,3034
13903,3022
13904,3035
13905,3045
13906,2984
13907,3058
13908,3053
13909,3060
13910,3028
13911,3032
13912,3049
13913,2949
13914,3109
13915,3119
13916,3076
13917,3038
13918,3097
13919,3013
13920,3115
13921,3109
13922,3056
13923,3103
13924,3162
13925,3051
13926,3162
13927,3141
13928,3090
13929,3160
13930,3083
13931,2985
13932,3055
13933,3213
13934,3113
13935,2999
13936,3053
13937,3205
13938,3154
13939,3040
13940,3126
13941,3195
13942,3119
13943,3129
13944,3258
13945,3143
13946,3146
13947,3115
13948,3150
13949,3136
13950,3224
13951,3132
13952,3153
13953,3206
13954,3215
13955,3109
13956,3211
13957,3189
13958,3219
13959,3115
13960,3178
13961,3246
13962,3084
13963,3127
13964,3207
13965,3151
13966,3246
13967,3170
13968,3330
13969,3232
13970,3224
13971,3197
13972,3162
13973,3194
13974,3233
13975,3182
13976,3252
13977,3276
13978,3199
13979,3230
13980,3269
13981,3176
13982,3223
13983,3197
13984,3280
13985,3199
13986,3235
13987,3290
13988,3281
13989,3281
13990,3347
13991,3225
13992,3271
13993,3289
13994,3155
13995,3266
13996,3216
13997,3170
13998,3345
13999,3290
14000,3254
14001,3251
14002,3245
14003,3226
14004,3281
14005,3268
14006,3273
14007,3220
14008,3317
14009,3185
14010,3359
14011,3263
14012,3267
14013,3339
14014,3275
14015,3273
14016,3311
14017,3212
14018,3266
14019,3333
14020,3221
14021,3276
14022,3240
14023,3291
14024,3304
14025,3318
14026,3335
14027,3219
14028,3320
14029,3260
14030,3242
14031,3367
14032,3273
14033,3373
14034,3438
14035,3364
14036,3329
14037,3361
14038,3309
14039,3331
14040,3341
14041,3330
14042,3385
14043,3353
14044,3296
14045,3393
14046,3383
14047,3417
14048,3357
14049,3374
14050,3363
14051,3494
14052,3454
14053,3417
14054,3446
14055,3414
14056,3394
14057,3346
14058,3331
14059,3338
14060,3423
14061,3361
14062,3459
14063,3394
14064,3351
14065,3454
14066,3416
14067,3384
14068,3412
14069,3436
14070,3350
14071,3359
14072,3422
14073,3523
14074,3458
14075,3400
14076,3478
14077,3405
