Gray value ,Voxel count 
0,370022
1,2929
2,2961
3,2882
4,2966
5,3011
6,2979
7,3043
8,3124
9,3021
10,3202
11,3210
12,3176
13,3233
14,3238
15,3319
16,3425
17,3318
18,3360
19,3430
20,3346
21,3496
22,3535
23,3516
24,3509
25,3513
26,3517
27,3648
28,3636
29,3685
30,3663
31,3676
32,3670
33,3739
34,3887
35,3890
36,3901
37,3889
38,3969
39,3875
40,3934
41,4020
42,4049
43,4083
44,4234
45,4166
46,4222
47,4253
48,4292
49,4192
50,4254
51,4493
52,4367
53,4528
54,4520
55,4622
56,4527
57,4615
58,4595
59,4836
60,4646
61,4648
62,4849
63,4920
64,4909
65,4922
66,4920
67,4991
68,5054
69,5088
70,5089
71,5171
72,5214
73,5171
74,5257
75,5380
76,5284
77,5366
78,5494
79,5599
80,5617
81,5613
82,5685
83,5819
84,5660
85,5752
86,5784
87,5865
88,5778
89,5921
90,6003
91,6078
92,6127
93,6250
94,6201
95,6283
96,6362
97,6392
98,6444
99,6460
100,6481
101,6486
102,6710
103,6673
104,6707
105,6759
106,6888
107,6869
108,6987
109,6892
110,6943
111,7272
112,7162
113,7325
114,7314
115,7371
116,7376
117,7348
118,7419
119,7689
120,7741
121,7722
122,7882
123,7659
124,7899
125,7920
126,7996
127,8164
128,8128
129,8222
130,8281
131,8372
132,8233
133,8339
134,8675
135,8606
136,8534
137,8685
138,8811
139,8924
140,8857
141,8992
142,9099
143,9150
144,9369
145,9402
146,9477
147,9641
148,9458
149,9721
150,9620
151,9500
152,9915
153,9878
154,9937
155,10036
156,10029
157,10068
158,10172
159,10544
160,10474
161,10633
162,10779
163,10674
164,10879
165,10967
166,10921
167,11053
168,11056
169,11150
170,11451
171,11377
172,11385
173,11527
174,11645
175,11733
176,12057
177,11945
178,12098
179,12180
180,12208
181,12271
182,12494
183,12832
184,12575
185,12511
186,12811
187,12997
188,13036
189,12975
190,13199
191,13338
192,13574
193,13646
194,13829
195,13856
196,13939
197,13812
198,14315
199,14186
200,14305
201,14429
202,14477
203,14592
204,14761
205,14848
206,14774
207,15091
208,15309
209,15243
210,15409
211,15560
212,15703
213,15722
214,15918
215,16246
216,16135
217,16098
218,16415
219,16394
220,16498
221,16746
222,16937
223,17124
224,17027
225,17321
226,17550
227,17631
228,17483
229,17961
230,17877
231,17839
232,18046
233,18253
234,18375
235,18502
236,18870
237,18793
238,19018
239,19143
240,19271
241,19526
242,19670
243,19729
244,19857
245,19833
246,20281
247,20279
248,20472
249,20481
250,20904
251,20668
252,21115
253,21133
254,21377
255,21336
256,21598
257,21662
258,22144
259,22389
260,22351
261,22419
262,22741
263,22750
264,23047
265,23063
266,22871
267,23361
268,23774
269,24017
270,24437
271,24269
272,24545
273,24444
274,24898
275,25014
276,25004
277,25312
278,25660
279,25603
280,25739
281,25793
282,26385
283,26324
284,26712
285,26673
286,27111
287,27083
288,27325
289,27632
290,27640
291,27931
292,28179
293,28267
294,28539
295,28588
296,28839
297,29269
298,29588
299,29370
300,29926
301,30130
302,30391
303,30600
304,30454
305,30793
306,31413
307,31178
308,31882
309,31616
310,31992
311,32145
312,32132
313,32770
314,32574
315,32846
316,33034
317,33620
318,34235
319,34002
320,34046
321,34461
322,34419
323,34690
324,35097
325,35360
326,35669
327,36049
328,36295
329,36490
330,36690
331,36656
332,37092
333,37640
334,38135
335,38069
336,38152
337,38126
338,38863
339,38788
340,38935
341,39693
342,39487
343,40075
344,40369
345,40338
346,40571
347,40752
348,41475
349,41549
350,41865
351,42115
352,42776
353,42429
354,42625
355,43073
356,43501
357,43913
358,43918
359,44195
360,44647
361,44986
362,45343
363,45707
364,46092
365,46449
366,46337
367,47069
368,46862
369,47488
370,47222
371,48178
372,48037
373,48481
374,48861
375,49129
376,49456
377,49915
378,50290
379,49984
380,50867
381,51360
382,51144
383,51943
384,52687
385,52691
386,52804
387,52947
388,53606
389,53313
390,53941
391,54341
392,54600
393,55116
394,55529
395,55325
396,56462
397,56536
398,56802
399,57000
400,57352
401,57890
402,58299
403,58343
404,59119
405,59229
406,59856
407,60386
408,60057
409,60970
410,61155
411,61197
412,61975
413,61994
414,62574
415,62695
416,62926
417,63814
418,64186
419,65245
420,64640
421,64908
422,65716
423,65596
424,66164
425,66422
426,67444
427,67478
428,68227
429,68504
430,68476
431,69306
432,69816
433,70157
434,69959
435,71574
436,70992
437,71853
438,72151
439,72441
440,72897
441,73166
442,73566
443,73713
444,74413
445,74529
446,75254
447,76334
448,76412
449,76817
450,76804
451,77499
452,77583
453,78314
454,79023
455,79263
456,79781
457,79784
458,80606
459,81331
460,81210
461,82080
462,81849
463,82764
464,83308
465,83714
466,84434
467,84281
468,85272
469,85166
470,86355
471,87026
472,87233
473,87488
474,88529
475,88416
476,88865
477,89301
478,90077
479,90588
480,90874
481,91070
482,91467
483,92770
484,93051
485,93646
486,93989
487,95250
488,94691
489,96420
490,96092
491,96586
492,96119
493,96970
494,97933
495,98098
496,99260
497,99393
498,99741
499,100850
500,100870
501,101778
502,102152
503,102610
504,103962
505,103854
506,104448
507,104619
508,105208
509,105615
510,106200
511,106890
512,107807
513,108367
514,108553
515,108988
516,110333
517,110710
518,111224
519,112055
520,112527
521,112505
522,113410
523,114165
524,114234
525,115050
526,115493
527,116274
528,117106
529,117473
530,118415
531,119293
532,119329
533,119839
534,120293
535,121298
536,122134
537,122473
538,123921
539,123727
540,124516
541,125610
542,125482
543,126520
544,127128
545,127887
546,128944
547,129062
548,129790
549,130100
550,130902
551,131218
552,132666
553,132668
554,133886
555,134494
556,135371
557,135306
558,136194
559,137538
560,138346
561,139034
562,139166
563,139769
564,140824
565,141952
566,142356
567,142292
568,143853
569,143908
570,145010
571,145850
572,146800
573,147598
574,148170
575,148956
576,149401
577,150241
578,151512
579,152039
580,152753
581,153170
582,154711
583,155536
584,157093
585,157042
586,158396
587,158903
588,159748
589,160406
590,160814
591,162465
592,163238
593,164178
594,164748
595,165723
596,166156
597,167528
598,168134
599,168968
600,169687
601,171428
602,171326
603,173134
604,173707
605,175120
606,175454
607,175833
608,177643
609,178558
610,179417
611,180152
612,180020
613,183068
614,182493
615,184641
616,185035
617,185849
618,186348
619,187505
620,189009
