Gray value ,Voxel count 
130.071,2617
130.076,2581
130.082,2524
130.087,2599
130.093,2621
130.098,2485
130.104,2577
130.109,2683
130.115,2656
130.121,2772
130.126,2577
130.132,2661
130.137,2513
130.143,2575
130.148,2582
130.154,2627
130.159,2622
130.165,2612
130.17,2756
130.176,2671
130.181,2646
130.187,2644
130.193,2611
130.198,2553
130.204,2583
130.209,2560
130.215,2558
130.22,2610
130.226,2610
130.231,2605
130.237,2609
130.242,2612
130.248,2605
130.253,2552
130.259,2572
130.265,2727
130.27,2656
130.276,2635
130.281,2637
130.287,2665
130.292,2673
130.298,2578
130.303,2687
130.309,2675
130.314,2566
130.32,2616
130.326,2548
130.331,2602
130.337,2597
130.342,2606
130.348,2681
130.353,2569
130.359,2703
130.364,2640
130.37,2608
130.375,2629
130.381,2626
130.386,2709
130.392,2672
130.398,2673
130.403,2681
130.409,2665
130.414,2619
130.42,2699
130.425,2655
130.431,2649
130.436,2706
130.442,2626
130.447,2634
130.453,2619
130.458,2707
130.464,2631
130.47,2639
130.475,2635
130.481,2611
130.486,2613
130.492,2671
130.497,2624
130.503,2657
130.508,2691
130.514,2755
130.519,2713
130.525,2618
130.531,2645
130.536,2623
130.542,2655
130.547,2710
130.553,2674
130.558,2625
130.564,2628
130.569,2542
130.575,2557
130.58,2536
130.586,2643
130.591,2700
130.597,2678
130.603,2754
130.608,2681
130.614,2778
130.619,2638
130.625,2652
130.63,2547
130.636,2616
130.641,2782
130.647,2659
130.652,2733
130.658,2741
130.663,2602
130.669,2720
130.675,2601
130.68,2697
130.686,2672
130.691,2723
130.697,2641
130.702,2672
130.708,2655
130.713,2741
130.719,2681
130.724,2727
130.73,2696
130.736,2634
130.741,2673
130.747,2694
130.752,2616
130.758,2725
130.763,2758
130.769,2549
130.774,2728
130.78,2702
130.785,2697
130.791,2634
130.796,2623
130.802,2699
130.808,2632
130.813,2668
130.819,2789
130.824,2630
130.83,2721
130.835,2800
130.841,2695
130.846,2743
130.852,2704
130.857,2764
130.863,2684
130.868,2793
130.874,2747
130.88,2660
130.885,2773
130.891,2755
130.896,2659
130.902,2673
130.907,2706
130.913,2724
130.918,2695
130.924,2800
130.929,2779
130.935,2721
130.941,2693
130.946,2716
130.952,2664
130.957,2721
130.963,2755
130.968,2791
130.974,2605
130.979,2796
130.985,2702
130.99,2717
130.996,2579
131.001,2698
131.007,2665
131.013,2737
131.018,2612
131.024,2655
131.029,2665
131.035,2688
131.04,2716
131.046,2633
131.051,2655
131.057,2707
131.062,2660
131.068,2713
131.073,2685
131.079,2726
131.085,2730
131.09,2611
131.096,2706
131.101,2737
131.107,2702
131.112,2596
131.118,2727
131.123,2663
131.129,2686
131.134,2615
131.14,2770
131.146,2715
131.151,2749
131.157,2723
131.162,2671
131.168,2771
131.173,2697
131.179,2719
131.184,2752
