Gray value ,Voxel count 
24232,4050
24233,4046
24234,4158
24235,4195
24236,4043
24237,4038
24238,4132
24239,4099
24240,4090
24241,4139
24242,4157
24243,4121
24244,4068
24245,4034
24246,4125
24247,4176
24248,4170
24249,4193
24250,4162
24251,4119
24252,4158
24253,4197
24254,4103
24255,4039
24256,4228
24257,4240
24258,4149
24259,4105
24260,4131
24261,4055
24262,4109
24263,4201
24264,4288
24265,4151
24266,4083
24267,4021
24268,4130
24269,4132
24270,4025
24271,4235
24272,4110
24273,4131
24274,4232
24275,4027
24276,4168
24277,4150
24278,4155
24279,4127
24280,4103
24281,4165
24282,4010
24283,4070
24284,4096
24285,4102
24286,4181
24287,4185
24288,4043
24289,4224
24290,4166
24291,4013
24292,4102
24293,4052
24294,4162
24295,4100
24296,4155
24297,4172
24298,4163
24299,4076
24300,4091
24301,4169
24302,4050
24303,4184
24304,4117
24305,4225
24306,4164
24307,4049
24308,4222
24309,4139
24310,4190
24311,4083
24312,4141
24313,4122
24314,4097
24315,4113
24316,4114
24317,4105
24318,4159
24319,4116
24320,4053
24321,4062
24322,4053
24323,4111
24324,4079
24325,4092
24326,4078
24327,4199
24328,4140
24329,4155
24330,4144
24331,4109
24332,4099
24333,4102
24334,4141
24335,4210
24336,4118
24337,4132
24338,4195
24339,4162
24340,4060
24341,4262
24342,4084
24343,4193
24344,4041
24345,4159
24346,4018
24347,4068
24348,4104
24349,4177
24350,4066
24351,4011
24352,4059
24353,4245
24354,4208
24355,4131
24356,4030
24357,4264
24358,4155
24359,4210
24360,3955
24361,4061
24362,4136
24363,4127
24364,4083
24365,4187
24366,4080
24367,4163
24368,4207
24369,4021
24370,4144
24371,4124
24372,4195
24373,4116
24374,4031
24375,4134
24376,4089
24377,3997
24378,4043
24379,4037
24380,4120
24381,3974
24382,4088
24383,4170
24384,4197
24385,4135
24386,4128
24387,4030
24388,4177
24389,4052
24390,4099
24391,4159
24392,4104
24393,3988
24394,4071
24395,4056
24396,4138
24397,4088
24398,4140
24399,4135
24400,3949
24401,4173
24402,4115
24403,4115
24404,4058
24405,4149
24406,4202
24407,4055
24408,4167
24409,4119
24410,4087
24411,4232
24412,4084
24413,4286
24414,4147
24415,4274
24416,4079
24417,4069
24418,4073
24419,4160
24420,4051
24421,4168
24422,4165
24423,4085
24424,4099
24425,4131
24426,4174
24427,4166
24428,4214
24429,4005
24430,4016
24431,4146
24432,4107
24433,4109
24434,4232
24435,4156
24436,4234
24437,4127
24438,3987
24439,4111
24440,4084
24441,4058
24442,4104
24443,4114
24444,4125
24445,4215
24446,4076
24447,4102
24448,4060
24449,4255
24450,4094
24451,4226
24452,4152
24453,4168
24454,4154
24455,4136
24456,4124
24457,4022
24458,4128
24459,4154
24460,4064
24461,4142
24462,4089
24463,4280
24464,4152
24465,4098
24466,4020
24467,4157
24468,4134
24469,4066
24470,4051
24471,4196
24472,4106
24473,4056
24474,4042
24475,4166
24476,4162
24477,4179
24478,4174
24479,3967
24480,4154
24481,4060
24482,4071
24483,4210
24484,4144
24485,4070
24486,4068
24487,4057
24488,4044
24489,4009
24490,4059
24491,4042
24492,3970
24493,4154
24494,4060
24495,4128
24496,4010
24497,4110
24498,3991
24499,4104
24500,4108
24501,4082
24502,4144
24503,4052
24504,4130
24505,4138
24506,4129
24507,4110
24508,4117
24509,4022
24510,4059
24511,4090
24512,4091
24513,4177
24514,4119
24515,4135
24516,4240
24517,4026
24518,4096
24519,4083
24520,4166
24521,4151
24522,4103
24523,4037
24524,4108
24525,4043
24526,4188
24527,4087
24528,4105
24529,4126
24530,4131
24531,4037
24532,4101
24533,4116
24534,4099
24535,4177
24536,4240
24537,4133
24538,4058
24539,4052
24540,4099
24541,4105
24542,4055
24543,4082
24544,4107
24545,4057
24546,4075
24547,4153
24548,4104
24549,4050
24550,4116
24551,4226
24552,3979
24553,4210
24554,4106
24555,3981
24556,4185
24557,4096
24558,3980
24559,4154
24560,4131
24561,4123
24562,4229
24563,3999
24564,4171
24565,4110
24566,4106
24567,4120
24568,4138
24569,4020
24570,4122
24571,4045
24572,4016
24573,4142
24574,4066
24575,4144
24576,3991
24577,3951
24578,4127
24579,4123
24580,4082
24581,4117
24582,4188
24583,4116
24584,4123
