Gray value ,Voxel count 
8834,5445
8835,5584
8836,5596
8837,5560
8838,5465
8839,5655
8840,5511
8841,5651
8842,5452
8843,5560
8844,5461
8845,5543
8846,5537
8847,5479
8848,5458
8849,5562
8850,5482
8851,5694
8852,5469
8853,5449
8854,5506
8855,5493
8856,5456
8857,5529
8858,5698
8859,5685
8860,5527
8861,5534
8862,5492
8863,5517
8864,5446
8865,5609
8866,5596
8867,5549
8868,5497
8869,5476
8870,5505
8871,5451
8872,5402
8873,5572
8874,5601
8875,5558
8876,5521
8877,5508
8878,5472
8879,5429
8880,5454
8881,5451
8882,5371
8883,5533
8884,5467
8885,5427
8886,5430
8887,5393
8888,5628
8889,5413
8890,5479
8891,5454
8892,5449
8893,5463
8894,5565
8895,5369
8896,5357
8897,5452
8898,5473
8899,5481
8900,5540
8901,5547
8902,5300
8903,5430
8904,5450
8905,5357
8906,5450
8907,5458
8908,5476
8909,5441
8910,5487
8911,5412
8912,5534
8913,5255
8914,5392
8915,5434
8916,5394
8917,5457
8918,5363
8919,5555
8920,5454
8921,5372
8922,5529
8923,5376
8924,5302
8925,5422
8926,5380
8927,5338
8928,5521
8929,5366
8930,5471
8931,5458
8932,5509
8933,5240
8934,5398
8935,5479
8936,5485
8937,5256
8938,5292
8939,5328
8940,5389
8941,5396
8942,5375
8943,5365
8944,5450
8945,5250
8946,5324
8947,5321
8948,5389
8949,5338
8950,5259
8951,5327
8952,5309
8953,5379
8954,5391
8955,5393
8956,5334
8957,5246
8958,5300
8959,5331
8960,5323
8961,5292
8962,5311
8963,5380
8964,5246
8965,5442
8966,5278
8967,5302
8968,5201
8969,5248
8970,5323
8971,5300
8972,5208
8973,5271
8974,5411
8975,5258
8976,5213
8977,5295
8978,5420
8979,5358
8980,5240
8981,5403
8982,5134
8983,5247
8984,5244
8985,5239
8986,5288
8987,5275
8988,5380
8989,5277
8990,5206
8991,5253
8992,5342
8993,5324
8994,5200
8995,5146
8996,5201
8997,5176
8998,5087
8999,5402
9000,5271
9001,5261
9002,5224
9003,5217
9004,5216
9005,5292
9006,5155
9007,5016
9008,5305
9009,5375
9010,5136
9011,5223
9012,5216
9013,5022
9014,5294
9015,5185
9016,5234
9017,5093
9018,5104
9019,5270
9020,5194
9021,5064
9022,5232
9023,5103
9024,5274
9025,5118
9026,5203
9027,5262
9028,5178
9029,5169
9030,5156
9031,5156
9032,5141
9033,5140
9034,5088
9035,5287
9036,5202
9037,5139
9038,4930
9039,5127
9040,5064
9041,5146
9042,5089
9043,5105
9044,5048
9045,5023
9046,5164
9047,5115
9048,5132
9049,5115
9050,5132
9051,5180
9052,5078
9053,5083
9054,5043
9055,5067
9056,5063
9057,5081
9058,5039
9059,5123
9060,5009
9061,5059
9062,5098
9063,5093
9064,5174
9065,5181
9066,5329
9067,5010
9068,5099
9069,5184
9070,5176
9071,5072
9072,5156
9073,4931
9074,5025
9075,5038
9076,5114
9077,5097
9078,4960
9079,4995
9080,5007
9081,4918
9082,5050
9083,4890
9084,5023
9085,5160
9086,5090
9087,5044
9088,4902
9089,5048
9090,5097
9091,5086
9092,5111
9093,4964
9094,5008
9095,5003
9096,4917
9097,4919
9098,4973
9099,5126
9100,5077
9101,5035
9102,5038
9103,4943
9104,4948
9105,4953
9106,5044
9107,4971
9108,4918
9109,4972
9110,4934
9111,4932
9112,4928
9113,4715
9114,4984
9115,5071
9116,5037
9117,4875
9118,4925
9119,4998
9120,4903
9121,4928
9122,4876
9123,4971
9124,4863
9125,4854
9126,4872
9127,4981
9128,5015
9129,4813
9130,4925
9131,4987
9132,4884
9133,4930
9134,4936
9135,4935
9136,4935
9137,4936
9138,4959
9139,4772
9140,4974
9141,4894
9142,5036
9143,4807
9144,4848
9145,4933
9146,4940
9147,4918
9148,4941
9149,4901
9150,4829
9151,4949
9152,4897
9153,4846
9154,4877
9155,5013
9156,4778
9157,4879
9158,4886
9159,4893
9160,5001
9161,4786
9162,4895
9163,4780
9164,4888
9165,4834
9166,4692
9167,4860
9168,4891
9169,4915
9170,4824
9171,4891
9172,4788
9173,4821
9174,4821
9175,4831
9176,4781
9177,4714
9178,4876
9179,4956
9180,4700
9181,4789
9182,4773
9183,4794
9184,4733
9185,4811
9186,4863
9187,4813
9188,4774
9189,4848
9190,4782
9191,4859
