Gray value ,Voxel count 
16300,6197
16301,6188
16302,6144
16303,6249
16304,6346
16305,6205
16306,6250
16307,6336
16308,6278
16309,6370
16310,6065
16311,6365
16312,6218
16313,6207
16314,6144
16315,6281
16316,6215
16317,6172
16318,6263
16319,6298
16320,6283
16321,6214
16322,6151
16323,6146
16324,6329
16325,6373
16326,6173
16327,6298
16328,6263
16329,6228
16330,6242
16331,6277
16332,6253
16333,6384
16334,6311
16335,6286
16336,6224
16337,6287
16338,6146
16339,6329
16340,6430
16341,6350
16342,6346
16343,6274
16344,6335
16345,6347
16346,6172
16347,6346
16348,6349
16349,6328
16350,6369
16351,6429
16352,6308
16353,6264
16354,6374
16355,6332
16356,6325
16357,6275
16358,6368
16359,6560
16360,6265
16361,6328
16362,6253
16363,6425
16364,6397
16365,6353
16366,6332
16367,6175
16368,6227
16369,6293
16370,6297
16371,6361
16372,6473
16373,6377
16374,6381
16375,6441
16376,6458
16377,6268
16378,6411
16379,6436
16380,6275
16381,6393
16382,6399
16383,6307
16384,6316
16385,6308
16386,6368
16387,6389
16388,6402
16389,6434
16390,6258
16391,6319
16392,6325
16393,6417
16394,6362
16395,6531
16396,6359
16397,6243
16398,6311
16399,6415
16400,6338
16401,6321
16402,6400
16403,6329
16404,6544
16405,6374
16406,6460
16407,6296
16408,6376
16409,6417
16410,6454
16411,6503
16412,6381
16413,6521
16414,6607
16415,6410
16416,6291
16417,6530
16418,6488
16419,6379
16420,6419
16421,6391
16422,6271
16423,6403
16424,6471
16425,6521
16426,6405
16427,6453
16428,6388
16429,6342
16430,6390
16431,6453
16432,6468
16433,6438
16434,6604
16435,6593
16436,6365
16437,6376
16438,6525
16439,6366
16440,6581
16441,6451
16442,6488
16443,6378
16444,6440
16445,6594
16446,6387
16447,6428
16448,6439
16449,6500
16450,6515
16451,6405
16452,6562
16453,6544
16454,6315
16455,6389
16456,6604
16457,6499
16458,6440
16459,6266
16460,6580
16461,6553
16462,6624
16463,6543
16464,6453
16465,6457
16466,6457
16467,6560
16468,6499
16469,6510
16470,6439
16471,6626
16472,6444
16473,6479
16474,6412
16475,6492
16476,6571
16477,6542
16478,6523
16479,6450
16480,6575
16481,6451
16482,6523
16483,6620
16484,6525
16485,6453
16486,6460
16487,6462
16488,6483
16489,6453
16490,6492
16491,6568
16492,6394
16493,6435
16494,6371
16495,6635
16496,6427
16497,6484
16498,6402
16499,6552
16500,6516
16501,6517
16502,6639
16503,6680
16504,6622
16505,6674
16506,6487
16507,6576
16508,6615
16509,6521
16510,6593
16511,6744
16512,6521
16513,6456
16514,6360
16515,6502
16516,6399
16517,6567
16518,6546
16519,6528
16520,6564
16521,6523
16522,6558
16523,6646
16524,6594
16525,6409
16526,6462
16527,6535
16528,6699
16529,6532
16530,6526
16531,6620
16532,6597
16533,6518
16534,6620
16535,6569
16536,6433
16537,6530
16538,6612
16539,6485
16540,6558
16541,6658
16542,6676
16543,6611
16544,6437
16545,6456
16546,6604
16547,6552
16548,6511
16549,6551
16550,6500
16551,6540
16552,6766
16553,6642
16554,6584
16555,6557
16556,6566
16557,6748
16558,6483
16559,6590
16560,6450
16561,6624
16562,6657
16563,6600
16564,6596
16565,6654
16566,6561
16567,6566
16568,6601
16569,6558
16570,6621
16571,6416
16572,6764
16573,6683
16574,6662
16575,6812
16576,6613
16577,6624
16578,6638
16579,6548
16580,6742
16581,6714
16582,6685
16583,6664
16584,6544
16585,6680
16586,6611
16587,6596
16588,6652
16589,6599
16590,6558
16591,6572
16592,6657
16593,6779
16594,6579
16595,6738
16596,6571
16597,6755
16598,6597
16599,6700
16600,6674
16601,6631
16602,6692
16603,6610
16604,6647
16605,6584
16606,6688
16607,6860
16608,6701
16609,6674
16610,6776
16611,6638
16612,6532
16613,6784
16614,6484
16615,6685
16616,6652
16617,6734
16618,6700
16619,6712
16620,6734
16621,6739
16622,6779
16623,6549
16624,6664
16625,6635
16626,6756
16627,6572
16628,6746
16629,6736
16630,6747
16631,6576
16632,6799
16633,6678
16634,6508
16635,6784
16636,6721
16637,6595
16638,6873
16639,6773
16640,6625
16641,6676
16642,6835
16643,6774
16644,6780
16645,6628
16646,6776
16647,6741
16648,6761
16649,6648
16650,6619
16651,6837
16652,6782
16653,6710
16654,6932
16655,6697
16656,6763
16657,6610
16658,6816
16659,6627
16660,6681
16661,6629
16662,6839
16663,6893
16664,6955
16665,6718
16666,6773
16667,6698
16668,6681
16669,6817
16670,6780
16671,6633
16672,6761
16673,6583
16674,6873
16675,6654
16676,6737
16677,6727
16678,6691
16679,6849
16680,6734
16681,6804
16682,6782
16683,6733
16684,6755
16685,6674
16686,6879
16687,6765
16688,6799
16689,6816
16690,6750
16691,6762
16692,6776
16693,6706
16694,6819
16695,6771
16696,6762
16697,6817
16698,6834
16699,6661
16700,6574
16701,6765
16702,6719
16703,6565
16704,6749
16705,6810
16706,6882
16707,6789
16708,6720
16709,6703
16710,6773
16711,6769
16712,6979
16713,6845
16714,6875
16715,6785
16716,6877
16717,6863
16718,6815
16719,6682
16720,6768
16721,6859
16722,6718
16723,6714
16724,6798
16725,6631
16726,6733
16727,6705
16728,6996
16729,6743
