Gray value ,Voxel count 
11267,2713
11268,2766
11269,2676
11270,2737
11271,2706
11272,2718
11273,2664
11274,2548
11275,2781
11276,2716
11277,2744
11278,2823
11279,2788
11280,2724
11281,2728
11282,2827
11283,2808
11284,2710
11285,2827
11286,2814
11287,2698
11288,2707
11289,2691
11290,2737
11291,2789
11292,2804
11293,2697
11294,2693
11295,2706
11296,2732
11297,2866
11298,2780
11299,2767
11300,2746
11301,2821
11302,2694
11303,2765
11304,2748
11305,2759
11306,2850
11307,2797
11308,2658
11309,2718
11310,2766
11311,2768
11312,2833
11313,2709
11314,2754
11315,2789
11316,2760
11317,2740
11318,2770
11319,2762
11320,2722
11321,2701
11322,2626
11323,2683
11324,2772
11325,2661
11326,2618
11327,2780
11328,2754
11329,2807
11330,2811
11331,2748
11332,2831
11333,2687
11334,2747
11335,2780
11336,2815
11337,2785
11338,2779
11339,2752
11340,2736
11341,2765
11342,2828
11343,2831
11344,2803
11345,2740
11346,2786
11347,2833
11348,2782
11349,2804
11350,2786
11351,2842
11352,2787
11353,2788
11354,2735
11355,2754
11356,2764
11357,2756
11358,2800
11359,2672
11360,2754
11361,2832
11362,2778
11363,2763
11364,2673
11365,2761
11366,2774
11367,2750
11368,2760
11369,2737
11370,2806
11371,2799
11372,2817
11373,2823
11374,2864
11375,2708
11376,2872
11377,2818
11378,2789
11379,2810
11380,2758
11381,2854
11382,2761
11383,2772
11384,2776
11385,2667
11386,2789
11387,2644
11388,2709
11389,2899
11390,2766
11391,2753
11392,2946
11393,2739
11394,2845
11395,2804
11396,2790
11397,2793
11398,2831
11399,2785
11400,2750
11401,2834
11402,2820
11403,2815
11404,2738
11405,2770
11406,2701
11407,2763
11408,2847
11409,2829
11410,2811
11411,2875
11412,2783
11413,2821
11414,2795
11415,2774
11416,2869
11417,2795
11418,2797
11419,2791
11420,2918
11421,2762
11422,2803
11423,2869
11424,2825
11425,2746
11426,2927
11427,2894
11428,2821
11429,2846
11430,2836
11431,2899
11432,2866
11433,2806
11434,2783
11435,2900
11436,2888
11437,2902
11438,2851
11439,2855
11440,2861
11441,2866
11442,2840
11443,2829
11444,2762
11445,2790
11446,2845
11447,2871
11448,2748
11449,2817
11450,2776
11451,2857
11452,2756
11453,2862
11454,2878
11455,2793
11456,2842
11457,2832
11458,2892
11459,2767
11460,2814
11461,2804
11462,2834
11463,2822
11464,2791
11465,2866
11466,2816
11467,2907
11468,2749
11469,2757
11470,2810
11471,2887
11472,2818
11473,2898
11474,2862
11475,2825
11476,2954
11477,2848
11478,2836
11479,2861
11480,2902
11481,2892
11482,2892
11483,2758
11484,2918
11485,2731
11486,2820
11487,2836
11488,2929
11489,2932
11490,2882
11491,2815
11492,2930
11493,2837
11494,2910
11495,2923
11496,2807
11497,2814
11498,2940
11499,2935
11500,2903
11501,2752
11502,2963
11503,2845
11504,2856
11505,2816
11506,2814
11507,2876
11508,2849
11509,2904
11510,2981
11511,2929
11512,2951
11513,2788
11514,2862
11515,2927
11516,2857
11517,2830
11518,2894
11519,2957
11520,2956
11521,2832
11522,2859
11523,2963
11524,2821
11525,2832
11526,2900
11527,2919
11528,2854
11529,2888
11530,2958
11531,2887
11532,2919
11533,2904
11534,2890
11535,2959
11536,2943
11537,2877
11538,2939
11539,2921
11540,2905
11541,2922
11542,2973
11543,2892
11544,2974
11545,2945
11546,2845
11547,2931
11548,2966
11549,2936
11550,2867
11551,2887
11552,2915
11553,3006
11554,2907
11555,2986
11556,3000
11557,2875
11558,2893
11559,2908
11560,2913
11561,2928
11562,2872
11563,2943
11564,3024
11565,2823
11566,2956
11567,2952
11568,2838
11569,2939
11570,2954
11571,2957
11572,2987
11573,3092
11574,3092
11575,2970
11576,3008
11577,3037
11578,2975
11579,3035
11580,2914
11581,2935
11582,2897
11583,2965
11584,2896
11585,2956
11586,2914
11587,2928
11588,3005
11589,2896
11590,3003
11591,2837
11592,2992
11593,3004
11594,2947
11595,3027
11596,3003
11597,2997
11598,3049
11599,2990
11600,2854
11601,2918
11602,2957
11603,2942
11604,2966
11605,3073
11606,3028
11607,2958
11608,2978
11609,2971
11610,3012
11611,3031
11612,3066
11613,2984
11614,3044
11615,2947
11616,3030
11617,3060
11618,3021
11619,3077
11620,3046
11621,2869
11622,3023
11623,3018
11624,3040
11625,2931
11626,3026
11627,2994
11628,2999
11629,3061
11630,2961
11631,3048
11632,2940
11633,3081
11634,3015
11635,3035
11636,2964
11637,3055
11638,3057
11639,2949
11640,3044
11641,3104
11642,3005
11643,3047
11644,3091
11645,3008
11646,3096
11647,2993
11648,2956
11649,2963
11650,3039
11651,3031
11652,3058
11653,3064
11654,2953
11655,3056
11656,2983
11657,2914
11658,2994
11659,3125
11660,3117
11661,3066
11662,3097
11663,3098
11664,3011
11665,3006
11666,3035
11667,3044
11668,2951
11669,3009
11670,3072
11671,3026
11672,3107
11673,3101
11674,3051
11675,3039
11676,3039
11677,3025
11678,3020
11679,3172
11680,3113
11681,3100
11682,3176
11683,3095
11684,3019
11685,3059
11686,3032
11687,3021
11688,3036
11689,3147
11690,3073
11691,3075
11692,3191
11693,3073
11694,3101
11695,3104
11696,3068
11697,3103
11698,3031
11699,3172
11700,3166
11701,3166
11702,3213
11703,3131
11704,3214
11705,3124
11706,3103
11707,3118
11708,3123
11709,3157
11710,3096
11711,2969
11712,3200
11713,3067
11714,3190
11715,3127
11716,3135
11717,3077
11718,3028
11719,3159
11720,3070
11721,3125
11722,3072
11723,3102
11724,3112
11725,3233
11726,3161
11727,3076
11728,3101
11729,3103
11730,3178
11731,3102
11732,3139
11733,3161
11734,3125
11735,3144
11736,3103
11737,3146
11738,3106
11739,3158
11740,3059
11741,3229
11742,3240
11743,3238
11744,3167
11745,3183
11746,3133
11747,3138
11748,3134
11749,3103
11750,3144
11751,3221
11752,3067
11753,3212
11754,3195
11755,3307
11756,3199
11757,3115
11758,3059
11759,3144
11760,3151
11761,3133
11762,3303
11763,3176
11764,3174
11765,3179
11766,3169
11767,3162
11768,3196
11769,3205
11770,3138
11771,3232
11772,3096
11773,3280
11774,3104
11775,3349
11776,3016
11777,3191
11778,3243
11779,3197
11780,3155
11781,3257
11782,3218
11783,3201
11784,3222
11785,3171
