Gray value ,Voxel count 
18100,8026
18101,8005
18102,7793
18103,7801
18104,8040
18105,7914
18106,7946
18107,7944
18108,8030
18109,8046
18110,8094
18111,7986
18112,7957
18113,8088
18114,8111
18115,7913
18116,7946
18117,8194
18118,8103
18119,7990
18120,8024
18121,7910
18122,7997
18123,7958
18124,8086
18125,7993
18126,7898
18127,8082
18128,8044
18129,7963
18130,8043
18131,8084
18132,8034
18133,8067
18134,8194
18135,8026
18136,8104
18137,8138
18138,7905
18139,8109
18140,8078
18141,7994
18142,8066
18143,8274
18144,8186
18145,8161
18146,8158
18147,8122
18148,8143
18149,8177
18150,8129
18151,8007
18152,8203
18153,8090
18154,8196
18155,8195
18156,7989
18157,8125
18158,8169
18159,8231
18160,8316
18161,8129
18162,8059
18163,8105
18164,8171
18165,8164
18166,8192
18167,8214
18168,8131
18169,8178
18170,8227
18171,8132
18172,8410
18173,8155
18174,8066
18175,8233
18176,8314
18177,8173
18178,8214
18179,8190
18180,8156
18181,8201
18182,8340
18183,8299
18184,8270
18185,8287
18186,8165
18187,8104
18188,8411
18189,8274
18190,8261
18191,8288
18192,8296
18193,8384
18194,8257
18195,8322
18196,8233
18197,8396
18198,8419
18199,8241
18200,8276
18201,8336
18202,8389
18203,8347
18204,8446
18205,8284
18206,8316
18207,8349
18208,8242
18209,8289
18210,8447
18211,8462
18212,8480
18213,8285
18214,8483
18215,8406
18216,8342
18217,8390
18218,8527
18219,8381
18220,8323
18221,8503
18222,8348
18223,8415
18224,8373
18225,8341
18226,8232
18227,8477
18228,8388
18229,8480
18230,8449
18231,8436
18232,8535
18233,8646
18234,8475
18235,8543
18236,8357
18237,8435
18238,8489
18239,8539
18240,8689
18241,8471
18242,8432
18243,8515
18244,8555
18245,8486
18246,8406
18247,8580
18248,8570
18249,8712
18250,8510
18251,8475
18252,8534
18253,8519
18254,8529
18255,8560
18256,8553
18257,8610
18258,8681
18259,8650
18260,8763
18261,8624
18262,8514
18263,8790
18264,8597
18265,8633
18266,8615
18267,8494
18268,8686
18269,8567
18270,8571
18271,8729
18272,8729
18273,8721
18274,8724
18275,8575
18276,8651
18277,8673
18278,8533
18279,8674
18280,8668
18281,8478
18282,8606
18283,8813
18284,8796
18285,8839
18286,8818
18287,8665
18288,8818
18289,8909
18290,8882
18291,8876
18292,8867
18293,8684
18294,8809
18295,8879
18296,8836
18297,8708
18298,8797
18299,8809
18300,8780
18301,8903
18302,8846
18303,8818
18304,8786
18305,8903
18306,8753
18307,8812
18308,8762
18309,8899
18310,8802
18311,8884
18312,8844
18313,8703
18314,8811
18315,8975
18316,8787
18317,8798
18318,8867
18319,8770
18320,8747
18321,9138
18322,8839
18323,8796
18324,8788
18325,8894
18326,9114
18327,9020
18328,8925
18329,8922
18330,9210
18331,8850
18332,9015
18333,8939
18334,8844
18335,8788
18336,9131
18337,8847
18338,8914
18339,8999
18340,9092
18341,8955
18342,9052
18343,8972
18344,9039
18345,8982
18346,9020
18347,8984
18348,8963
18349,8978
18350,8859
18351,9114
18352,8964
18353,9168
18354,9025
18355,9024
18356,8936
18357,8985
18358,8921
18359,9123
18360,9071
18361,9111
18362,9133
18363,9021
18364,9299
18365,9020
18366,9048
18367,8841
18368,9190
18369,9124
18370,9122
18371,8900
18372,9039
18373,9234
18374,9132
18375,9189
18376,9177
18377,9105
18378,9308
18379,9115
18380,9087
18381,9028
18382,9019
18383,9161
18384,9022
18385,9217
18386,9330
18387,9179
18388,9354
18389,9100
18390,9308
18391,9312
18392,9298
18393,9102
18394,9216
18395,9365
18396,9402
18397,9324
18398,9240
18399,9285
18400,9276
18401,9289
18402,9221
18403,9442
18404,9338
18405,9413
18406,9143
18407,9261
18408,9318
18409,9359
18410,9223
18411,9431
18412,9341
18413,9330
18414,9331
18415,9263
18416,9173
18417,9393
18418,9417
18419,9330
18420,9470
18421,9272
18422,9374
18423,9445
18424,9325
18425,9356
18426,9403
18427,9362
18428,9413
18429,9450
18430,9436
18431,9460
18432,9256
18433,9372
18434,9378
18435,9535
18436,9459
18437,9380
18438,9429
18439,9454
18440,9495
18441,9389
18442,9534
18443,9449
18444,9495
18445,9433
18446,9513
18447,9287
18448,9526
18449,9385
18450,9652
18451,9562
18452,9501
18453,9644
18454,9476
18455,9656
18456,9548
18457,9774
18458,9503
18459,9524
18460,9492
18461,9421
18462,9496
18463,9393
18464,9542
18465,9651
18466,9570
18467,9573
18468,9443
18469,9739
18470,9804
18471,9565
18472,9462
18473,9704
18474,9675
18475,9610
18476,9684
18477,9781
18478,9512
18479,9605
18480,9643
18481,9453
18482,9655
18483,9581
18484,9812
18485,9604
18486,9621
18487,9555
18488,9708
18489,9827
18490,9688
18491,9752
18492,9767
18493,9749
18494,9715
18495,9765
18496,9757
18497,9847
18498,9851
18499,9706
18500,9915
18501,9782
18502,9686
18503,9570
18504,9855
18505,9677
18506,9750
18507,9880
18508,9818
18509,9865
18510,9748
18511,9858
18512,9968
18513,9732
18514,9911
18515,9821
18516,9977
18517,9885
18518,9876
18519,9832
18520,9804
18521,10035
18522,9787
18523,9832
18524,10043
18525,9835
18526,9978
18527,9873
18528,9845
18529,9946
18530,9938
18531,10080
18532,10166
18533,9917
18534,10006
18535,10071
18536,9950
18537,10111
18538,9837
18539,10021
18540,9907
18541,9809
18542,9843
18543,10215
18544,9946
18545,9997
18546,10012
18547,10026
18548,10265
18549,10029
18550,9986
18551,9926
18552,10133
18553,10088
18554,9977
18555,9915
18556,10104
18557,10108
18558,9964
18559,10033
18560,10060
18561,10259
18562,10081
18563,10183
18564,10046
18565,10352
18566,10274
18567,10121
18568,10187
18569,10022
18570,10212
18571,10112
18572,10079
18573,10163
18574,10312
18575,10245
18576,10330
18577,10356
18578,10272
18579,10283
18580,10105
18581,10112
18582,10228
18583,10095
18584,10212
18585,10258
18586,10154
18587,10219
18588,10289
18589,10481
18590,10239
18591,10316
18592,10084
18593,10181
18594,10328
18595,10275
18596,10307
18597,10448
18598,10304
18599,10133
18600,10295
18601,10522
18602,10440
18603,10335
18604,10547
18605,10465
18606,10528
18607,10318
18608,10383
18609,10420
18610,10390
18611,10512
18612,10379
18613,10487
18614,10385
18615,10534
18616,10298
18617,10417
18618,10395
18619,10520
18620,10516
18621,10424
18622,10627
18623,10472
18624,10441
18625,10536
18626,10510
18627,10616
18628,10424
18629,10415
18630,10646
18631,10379
18632,10441
18633,10580
18634,10511
18635,10361
18636,10541
18637,10416
18638,10464
18639,10475
18640,10614
18641,10580
18642,10561
18643,10475
18644,10695
18645,10656
18646,10592
18647,10502
18648,10573
18649,10558
18650,10710
18651,10559
18652,10470
18653,10385
18654,10470
18655,10661
18656,10710
18657,10688
18658,10690
18659,10600
18660,10779
18661,10678
18662,10638
18663,10605
18664,10687
18665,10508
18666,10727
18667,10732
18668,10618
18669,10632
18670,10672
18671,10674
18672,10887
18673,10575
18674,10880
18675,10865
18676,10669
18677,10813
18678,10685
18679,11024
18680,11000
18681,10780
18682,10830
18683,10754
18684,10720
18685,11025
18686,10952
18687,10754
18688,10999
18689,10841
18690,10980
18691,10928
18692,10738
18693,10619
18694,10878
18695,10944
18696,10909
18697,10912
18698,10890
18699,10734
18700,11111
18701,10658
18702,10953
18703,10773
18704,10779
18705,10898
18706,10848
18707,10915
18708,10944
18709,11034
18710,10987
18711,10924
18712,10975
18713,10861
18714,11066
18715,11036
18716,10836
18717,11126
18718,11025
18719,11165
18720,10913
18721,11057
18722,10968
18723,11149
18724,11152
18725,11216
18726,10796
18727,11004
18728,10956
18729,11086
18730,10989
18731,11220
18732,11157
18733,11219
18734,11159
18735,11066
18736,11161
18737,11080
18738,11208
18739,11062
18740,11207
18741,11260
18742,11170
18743,11049
18744,11120
18745,11184
18746,10957
18747,11095
18748,11118
18749,11199
18750,11086
18751,11236
18752,11266
18753,11204
18754,11231
18755,11221
18756,11212
18757,11363
18758,11173
18759,11156
18760,11214
18761,11331
18762,11151
18763,11348
18764,11232
18765,11357
18766,11162
18767,11315
18768,11266
18769,11167
18770,11404
18771,11461
18772,11128
18773,11122
18774,11445
18775,11199
18776,11380
18777,11367
18778,11281
18779,11464
18780,11335
18781,11571
18782,11309
18783,11367
18784,11352
18785,11435
18786,11615
18787,11323
18788,11452
18789,11546
18790,11354
18791,11406
18792,11372
18793,11584
18794,11495
18795,11356
18796,11620
18797,11376
18798,11509
18799,11456
18800,11597
18801,11506
18802,11505
18803,11391
18804,11481
18805,11554
18806,11444
18807,11450
18808,11417
18809,11534
18810,11356
18811,11645
18812,11520
18813,11537
18814,11443
18815,11507
18816,11395
18817,11606
18818,11598
18819,11469
18820,11677
18821,11665
18822,11556
18823,11744
18824,11541
18825,11678
18826,11677
18827,11723
18828,11591
18829,11681
18830,11713
18831,11533
18832,11676
18833,11674
18834,11591
18835,11735
18836,11802
18837,11836
18838,11521
18839,11647
18840,11918
18841,11582
18842,11664
18843,11637
18844,11714
18845,11665
18846,11473
18847,11859
18848,11968
18849,11772
18850,11667
18851,11628
18852,11831
18853,11775
18854,11764
18855,11920
18856,11857
18857,11671
18858,11639
18859,11822
18860,11860
18861,11846
18862,11750
18863,11832
18864,12010
18865,11863
18866,12016
18867,12049
18868,11686
18869,11864
18870,11899
18871,11917
18872,11764
18873,11891
18874,12049
18875,11906
18876,11946
18877,11960
18878,11963
18879,11880
18880,11851
18881,12164
18882,12020
18883,12163
18884,11945
18885,11955
18886,11852
18887,11797
18888,12122
18889,11955
18890,12120
18891,12002
18892,12049
18893,11881
18894,12039
18895,12235
18896,12163
18897,11811
18898,12130
18899,11991
18900,12158
18901,11955
18902,12236
18903,12017
18904,11969
18905,12113
18906,12341
18907,12002
18908,12129
18909,12095
18910,12208
18911,12224
18912,12165
18913,12380
18914,12173
18915,12150
18916,12052
18917,12170
18918,11983
18919,12149
18920,12272
18921,12256
18922,12395
18923,12353
18924,12308
18925,12074
18926,12414
18927,12357
18928,12051
18929,12597
18930,12291
18931,12330
18932,12127
18933,12072
18934,12108
18935,12176
18936,12404
18937,12291
18938,12362
18939,12304
18940,12284
18941,12203
18942,12233
18943,12427
18944,12402
18945,12390
18946,12420
18947,12218
18948,12413
18949,12518
18950,12594
18951,12358
18952,12180
18953,12606
18954,12398
18955,12472
18956,12357
18957,12477
18958,12462
18959,12398
18960,12302
18961,12407
18962,12460
18963,12495
18964,12492
18965,12333
18966,12392
18967,12387
18968,12395
18969,12605
18970,12505
18971,12459
18972,12456
18973,12599
18974,12428
18975,12516
18976,12551
18977,12514
18978,12546
18979,12360
18980,12467
18981,12516
18982,12362
18983,12547
18984,12537
18985,12841
18986,12708
18987,12742
18988,12481
18989,12478
18990,12828
18991,12793
18992,12694
18993,12606
18994,12559
18995,12536
18996,12458
18997,12600
18998,12657
18999,12659
19000,12643
19001,12662
19002,12787
19003,12783
19004,12685
19005,12582
19006,12740
19007,12705
19008,12633
19009,12810
19010,12775
19011,12841
19012,12588
19013,12819
19014,12746
19015,12754
19016,12635
19017,12857
19018,12674
19019,12664
19020,12692
19021,12633
19022,12945
19023,12641
19024,12925
19025,12788
19026,12789
19027,12890
19028,12873
19029,12893
19030,12963
19031,12889
19032,12769
19033,12832
19034,12980
19035,12914
19036,12745
19037,13096
19038,13148
19039,12859
19040,13123
19041,12969
19042,12850
19043,12966
19044,12811
19045,12898
19046,12961
19047,13034
19048,12987
19049,12882
19050,13028
19051,13007
19052,13004
19053,12812
19054,12800
19055,13056
19056,12731
19057,12780
19058,12930
19059,12892
19060,12891
19061,13083
19062,12890
19063,12906
19064,13244
19065,13076
19066,13170
19067,13077
19068,12855
19069,13023
19070,13038
19071,13018
19072,13069
19073,13180
19074,13046
19075,13094
19076,12996
19077,13100
19078,13294
19079,13158
19080,12942
19081,13355
19082,12988
19083,13390
19084,13040
19085,13304
19086,13270
19087,13223
19088,13196
19089,13119
19090,13346
19091,12943
19092,13083
19093,13253
19094,13110
19095,13167
19096,12946
19097,13190
19098,13273
19099,13257
19100,13124
19101,13341
19102,13314
19103,13091
19104,13231
19105,13229
19106,13197
19107,13281
19108,13195
19109,13155
19110,13240
19111,13283
19112,13203
19113,13315
19114,13266
19115,13366
19116,13399
19117,13503
19118,13433
19119,13254
19120,13362
19121,13410
19122,13403
19123,13303
19124,13460
19125,13379
19126,13487
19127,13388
19128,13579
19129,13536
19130,13162
19131,13222
19132,13469
19133,13491
19134,13376
19135,13646
19136,13342
19137,13545
19138,13255
19139,13419
19140,13611
19141,13593
19142,13513
19143,13539
19144,13325
19145,13398
19146,13504
19147,13522
19148,13180
19149,13399
19150,13445
19151,13551
19152,13797
19153,13264
19154,13378
19155,13521
19156,13494
19157,13440
19158,13617
19159,13585
19160,13513
19161,13641
19162,13508
19163,13734
19164,13614
19165,13540
19166,13626
19167,13437
19168,13582
19169,13654
19170,13737
19171,13578
19172,13649
19173,13640
19174,13778
