Gray value ,Voxel count 
7736,736
7737,836
7738,780
7739,765
7740,781
7741,762
7742,799
7743,763
7744,776
7745,762
7746,800
7747,781
7748,818
7749,772
7750,722
7751,810
7752,754
7753,798
7754,799
7755,784
7756,802
7757,815
7758,784
7759,756
7760,808
7761,842
7762,744
7763,749
7764,747
7765,774
7766,781
7767,796
7768,755
7769,752
7770,747
7771,774
7772,720
7773,759
7774,779
7775,790
7776,782
7777,730
7778,775
7779,740
7780,736
7781,736
7782,813
7783,755
7784,698
7785,772
7786,740
7787,763
7788,736
7789,747
7790,755
7791,743
7792,729
7793,767
7794,736
7795,733
7796,715
7797,734
7798,789
7799,768
7800,812
7801,725
7802,764
7803,746
7804,707
7805,736
7806,703
7807,742
7808,772
7809,751
7810,743
7811,728
7812,700
7813,757
7814,764
7815,727
7816,717
7817,749
7818,751
7819,722
7820,749
7821,756
7822,694
7823,739
7824,705
7825,753
7826,778
7827,801
7828,751
7829,770
7830,794
7831,708
7832,747
7833,743
7834,728
7835,750
7836,691
7837,731
7838,746
7839,729
7840,757
7841,700
7842,801
7843,689
7844,723
7845,702
7846,714
7847,806
7848,731
7849,758
7850,746
7851,689
7852,746
7853,773
7854,729
7855,748
7856,714
7857,733
7858,716
7859,730
7860,772
7861,717
7862,727
7863,714
7864,732
7865,695
7866,700
7867,716
7868,690
7869,705
7870,759
7871,681
7872,670
7873,689
7874,696
7875,717
7876,752
7877,717
7878,709
7879,745
7880,750
7881,726
7882,662
7883,683
7884,704
7885,699
7886,691
7887,740
7888,743
7889,744
7890,708
7891,712
7892,725
7893,695
7894,698
7895,695
7896,753
7897,669
7898,725
7899,712
7900,707
7901,673
7902,727
7903,725
7904,719
7905,699
7906,647
7907,724
7908,716
7909,724
7910,657
7911,724
7912,684
7913,683
7914,690
7915,689
7916,759
7917,705
7918,743
7919,701
7920,648
7921,681
7922,689
7923,719
7924,679
7925,711
7926,712
7927,741
7928,688
7929,675
7930,714
7931,671
7932,692
7933,678
7934,668
7935,687
7936,693
7937,672
7938,671
7939,680
7940,698
7941,645
7942,715
7943,669
7944,707
7945,651
7946,694
7947,698
7948,666
7949,687
7950,649
7951,705
7952,673
7953,731
7954,693
7955,707
7956,708
7957,709
7958,682
7959,674
7960,654
7961,706
7962,726
7963,698
7964,655
7965,743
7966,699
7967,669
7968,680
7969,699
7970,659
7971,687
7972,680
7973,665
7974,702
7975,665
7976,681
7977,688
7978,634
7979,718
7980,619
7981,699
7982,665
7983,682
7984,691
7985,636
7986,678
7987,679
7988,683
7989,694
7990,614
7991,699
7992,655
7993,697
7994,665
7995,624
7996,675
7997,686
7998,663
7999,667
8000,638
8001,697
8002,665
8003,704
8004,655
8005,656
8006,657
8007,646
8008,726
8009,686
8010,602
8011,656
8012,664
8013,651
8014,648
8015,667
8016,642
8017,658
8018,722
8019,656
8020,637
8021,664
8022,611
8023,648
8024,675
8025,638
8026,666
8027,652
8028,693
8029,646
8030,679
8031,668
8032,676
8033,647
8034,628
8035,651
8036,586
8037,657
8038,673
8039,669
8040,652
8041,692
8042,657
8043,676
8044,673
8045,643
8046,666
8047,624
8048,669
8049,661
8050,668
8051,665
8052,591
8053,654
8054,586
8055,642
8056,680
8057,671
8058,631
8059,646
8060,633
8061,632
8062,650
8063,641
8064,608
8065,657
8066,612
8067,638
