Gray value ,Voxel count 
13847,1142
13848,1196
13849,1124
13850,1136
13851,1163
13852,1165
13853,1106
13854,1136
13855,1231
13856,1145
13857,1135
13858,1141
13859,1209
13860,1161
13861,1140
13862,1153
13863,1143
13864,1175
13865,1184
13866,1185
13867,1152
13868,1174
13869,1149
13870,1179
13871,1143
13872,1185
13873,1164
13874,1135
13875,1176
13876,1168
13877,1164
13878,1159
13879,1155
13880,1214
13881,1142
13882,1213
13883,1233
13884,1202
13885,1203
13886,1206
13887,1166
13888,1212
13889,1177
13890,1161
13891,1178
13892,1185
13893,1221
13894,1199
13895,1215
13896,1173
13897,1172
13898,1206
13899,1109
13900,1180
13901,1140
13902,1190
13903,1176
13904,1193
13905,1125
13906,1206
13907,1205
13908,1180
13909,1216
13910,1179
13911,1214
13912,1209
13913,1248
13914,1141
13915,1234
13916,1290
13917,1261
13918,1137
13919,1247
13920,1172
13921,1177
13922,1142
13923,1194
13924,1202
13925,1260
13926,1183
13927,1164
13928,1121
13929,1219
13930,1145
13931,1193
13932,1195
13933,1185
13934,1208
13935,1203
13936,1219
13937,1204
13938,1238
13939,1217
13940,1272
13941,1204
13942,1188
13943,1208
13944,1233
13945,1168
13946,1264
13947,1227
13948,1259
13949,1243
13950,1251
13951,1238
13952,1238
13953,1211
13954,1244
13955,1197
13956,1220
13957,1225
13958,1220
13959,1142
13960,1223
13961,1168
13962,1229
13963,1308
13964,1244
13965,1237
13966,1212
13967,1235
13968,1243
13969,1215
13970,1200
13971,1198
13972,1214
13973,1198
13974,1272
13975,1228
13976,1258
13977,1210
13978,1225
13979,1258
13980,1239
13981,1181
13982,1207
13983,1248
13984,1258
13985,1213
13986,1308
13987,1224
13988,1194
13989,1217
13990,1253
13991,1226
13992,1253
13993,1216
13994,1273
13995,1253
13996,1162
13997,1200
13998,1227
13999,1261
14000,1195
14001,1234
14002,1198
14003,1232
14004,1274
14005,1208
14006,1210
14007,1231
14008,1205
14009,1270
14010,1249
14011,1177
14012,1277
14013,1255
14014,1276
14015,1284
14016,1270
14017,1275
14018,1252
14019,1240
14020,1296
14021,1318
14022,1278
14023,1233
14024,1249
14025,1292
14026,1236
14027,1282
14028,1308
14029,1208
14030,1281
14031,1272
14032,1341
14033,1232
14034,1284
14035,1266
14036,1318
14037,1233
14038,1196
14039,1293
14040,1207
14041,1337
14042,1315
14043,1248
14044,1208
14045,1300
14046,1282
14047,1226
14048,1299
14049,1328
14050,1239
14051,1253
14052,1223
14053,1217
14054,1216
14055,1289
14056,1253
14057,1252
14058,1288
14059,1301
14060,1306
14061,1206
14062,1294
14063,1351
14064,1293
14065,1285
14066,1201
14067,1306
14068,1340
14069,1293
14070,1309
14071,1258
14072,1294
14073,1318
14074,1295
