Gray value ,Voxel count 
10931,2044
10932,2085
10933,2054
10934,2104
10935,2040
10936,2006
10937,2029
10938,2114
10939,2114
10940,2076
10941,2098
10942,2056
10943,2118
10944,2140
10945,2093
10946,2050
10947,2050
10948,2092
10949,2083
10950,2041
10951,2075
10952,2018
10953,1966
10954,2062
10955,2102
10956,2100
10957,2030
10958,1956
10959,2066
10960,2034
10961,2064
10962,2080
10963,2002
10964,2089
10965,2024
10966,2100
10967,2047
10968,2069
10969,2088
10970,2034
10971,2043
10972,2043
10973,2131
10974,1977
10975,2063
10976,1995
10977,2050
10978,1966
10979,2027
10980,2027
10981,2026
10982,2082
10983,1978
10984,2048
10985,2120
10986,1998
10987,2090
10988,1965
10989,2055
10990,1987
10991,2013
10992,1869
10993,2097
10994,1991
10995,2063
10996,2051
10997,2063
10998,1942
10999,2021
11000,2023
11001,2001
11002,2020
11003,1914
11004,1990
11005,2032
11006,2015
11007,2043
11008,2029
11009,2038
11010,1998
11011,2013
11012,1980
11013,2020
11014,2113
11015,2041
11016,1985
11017,2041
11018,1923
11019,2038
11020,2062
11021,2041
11022,1981
11023,1974
11024,1982
11025,2003
11026,2017
11027,2004
11028,2003
11029,1988
11030,2003
11031,2012
11032,2020
11033,2067
11034,1947
11035,2020
11036,2078
11037,2069
11038,2051
11039,2015
11040,2036
11041,1937
11042,1968
11043,1994
11044,1999
11045,1983
11046,1958
11047,1868
11048,1985
11049,2052
11050,1929
11051,2075
11052,1994
11053,2041
11054,1968
11055,1914
11056,2001
11057,1905
11058,1998
11059,1915
11060,1980
11061,1916
11062,1959
11063,1909
11064,2133
11065,2018
11066,2023
11067,1916
11068,1981
11069,1953
11070,2006
11071,1979
11072,2017
11073,1962
11074,1904
11075,1935
11076,1924
11077,2056
11078,2025
11079,1997
11080,1934
11081,1937
11082,1993
11083,2006
11084,1959
11085,1974
11086,1983
11087,1957
11088,2013
11089,2018
11090,1970
11091,2004
11092,1952
11093,1938
11094,1934
11095,2041
11096,2016
11097,1896
11098,1944
11099,1885
11100,1976
11101,2007
11102,1944
11103,1954
11104,1926
11105,1974
11106,1963
11107,2013
11108,1850
11109,1956
11110,1937
11111,1944
11112,1914
11113,1982
11114,2069
11115,1954
11116,1968
11117,1977
11118,1911
11119,1935
11120,2039
11121,1887
11122,1892
11123,1915
11124,1923
11125,1987
11126,1971
11127,1994
11128,1959
11129,1904
11130,1932
11131,1985
11132,1963
11133,1868
11134,1890
11135,1998
11136,1903
11137,1945
11138,1922
11139,1923
11140,1908
11141,1975
11142,1904
11143,1960
11144,1873
11145,1855
11146,1916
11147,1918
11148,1918
11149,1908
11150,1932
11151,1954
11152,1941
11153,1899
11154,1888
11155,1873
11156,1865
11157,1965
11158,1913
11159,1928
11160,1858
11161,1965
11162,1928
11163,1944
11164,1917
11165,1903
11166,1877
11167,1906
11168,1906
11169,1906
11170,1841
11171,1813
11172,1846
11173,1898
11174,1923
11175,1897
11176,1881
11177,1924
11178,1855
11179,1871
11180,1939
11181,1974
11182,1909
11183,1899
11184,1927
11185,1878
11186,1909
11187,1842
11188,1826
11189,1882
11190,1925
11191,1874
11192,1841
11193,1906
11194,1884
11195,1888
11196,1888
11197,1918
11198,1846
11199,1880
11200,1848
11201,1924
11202,1779
11203,1849
11204,1945
11205,1853
11206,1885
11207,1910
11208,1830
11209,1934
11210,1910
11211,1889
11212,1834
11213,1926
11214,1840
11215,1980
11216,1892
11217,1867
11218,1953
11219,1865
11220,1814
11221,1864
11222,1855
11223,1874
11224,1927
11225,1868
11226,1852
11227,1912
11228,1889
11229,1856
11230,1837
11231,1893
11232,1966
11233,1820
11234,1876
11235,1800
11236,1931
11237,1785
11238,1832
11239,1850
11240,1889
11241,1848
11242,1781
11243,1859
11244,1885
11245,1850
11246,1832
11247,1887
11248,1895
11249,1856
11250,1845
11251,1827
11252,1809
11253,1814
11254,1784
11255,1836
11256,1884
11257,1856
11258,1944
11259,1842
11260,1874
11261,1779
11262,1795
11263,1887
11264,1837
11265,1838
11266,1933
11267,1798
11268,1805
11269,1846
11270,1894
11271,1846
11272,1826
11273,1857
11274,1846
11275,1845
11276,1752
11277,1840
11278,1861
11279,1904
11280,1872
11281,1826
11282,1827
11283,1874
11284,1771
11285,1716
11286,1895
11287,1821
11288,1882
11289,1767
11290,1741
11291,1857
11292,1820
11293,1843
11294,1723
11295,1851
11296,1820
11297,1714
11298,1835
11299,1807
11300,1808
11301,1816
11302,1803
11303,1764
11304,1842
11305,1835
11306,1827
11307,1863
11308,1833
11309,1785
11310,1723
11311,1809
11312,1845
11313,1776
11314,1791
11315,1773
11316,1813
11317,1800
11318,1890
11319,1808
11320,1757
11321,1757
11322,1772
11323,1820
11324,1790
11325,1826
11326,1779
11327,1818
11328,1846
11329,1782
11330,1782
11331,1771
11332,1834
11333,1816
11334,1815
11335,1809
11336,1813
11337,1742
11338,1827
11339,1854
11340,1765
11341,1822
11342,1780
11343,1765
11344,1766
11345,1785
11346,1747
11347,1799
11348,1806
11349,1864
11350,1697
11351,1740
11352,1814
11353,1805
11354,1761
11355,1815
11356,1810
11357,1848
11358,1701
11359,1887
11360,1814
11361,1789
11362,1773
11363,1678
11364,1766
11365,1795
11366,1808
11367,1727
11368,1740
11369,1801
11370,1833
11371,1803
11372,1794
11373,1802
11374,1734
11375,1751
11376,1746
11377,1779
11378,1814
11379,1750
11380,1751
11381,1787
11382,1769
11383,1765
11384,1753
11385,1729
11386,1708
11387,1698
11388,1783
11389,1771
11390,1722
11391,1781
11392,1743
11393,1791
11394,1725
11395,1765
11396,1736
11397,1708
11398,1767
11399,1801
11400,1747
11401,1770
11402,1787
11403,1716
11404,1743
11405,1786
11406,1777
11407,1878
11408,1789
11409,1746
11410,1744
11411,1711
11412,1803
11413,1789
11414,1759
11415,1728
11416,1760
11417,1717
11418,1724
11419,1759
11420,1707
11421,1808
11422,1788
11423,1834
11424,1728
11425,1788
11426,1772
11427,1681
11428,1702
11429,1775
11430,1703
11431,1705
11432,1783
11433,1775
11434,1839
11435,1737
11436,1710
11437,1782
11438,1814
11439,1746
11440,1759
11441,1698
11442,1758
11443,1713
11444,1713
11445,1766
11446,1673
11447,1764
11448,1724
11449,1716
11450,1665
11451,1709
11452,1770
11453,1712
11454,1784
11455,1706
11456,1694
11457,1734
11458,1757
11459,1682
11460,1715
11461,1708
11462,1708
11463,1665
11464,1692
11465,1786
11466,1763
11467,1699
11468,1728
11469,1705
11470,1818
11471,1732
11472,1721
11473,1825
11474,1754
11475,1765
11476,1668
11477,1702
11478,1761
11479,1748
11480,1681
11481,1786
11482,1762
11483,1661
11484,1797
11485,1664
11486,1761
11487,1735
11488,1716
11489,1638
11490,1677
11491,1701
11492,1687
11493,1699
11494,1688
11495,1667
11496,1736
11497,1695
11498,1682
11499,1736
11500,1736
11501,1659
11502,1744
11503,1654
11504,1690
11505,1731
11506,1689
11507,1710
11508,1702
11509,1700
11510,1720
11511,1656
11512,1744
11513,1621
11514,1757
11515,1671
11516,1716
11517,1603
11518,1724
11519,1706
11520,1685
11521,1707
11522,1746
11523,1738
11524,1670
11525,1686
11526,1670
11527,1667
11528,1702
11529,1686
11530,1711
11531,1672
11532,1680
11533,1678
11534,1699
11535,1737
11536,1641
11537,1653
11538,1694
11539,1682
11540,1685
11541,1692
11542,1678
11543,1693
11544,1716
11545,1684
11546,1599
11547,1673
11548,1767
11549,1693
11550,1680
11551,1681
11552,1638
11553,1626
11554,1658
11555,1647
11556,1708
11557,1768
11558,1659
11559,1647
11560,1675
11561,1671
11562,1659
11563,1674
11564,1757
11565,1718
11566,1642
11567,1673
11568,1643
11569,1696
11570,1644
11571,1697
11572,1693
11573,1730
11574,1662
11575,1699
11576,1742
11577,1691
11578,1630
11579,1651
11580,1667
11581,1608
11582,1689
11583,1722
11584,1712
11585,1650
11586,1674
11587,1699
11588,1663
11589,1667
11590,1638
11591,1770
11592,1666
11593,1657
11594,1587
11595,1640
11596,1659
11597,1655
11598,1721
11599,1615
11600,1709
11601,1628
11602,1694
11603,1641
11604,1639
11605,1572
11606,1632
11607,1674
11608,1585
11609,1673
11610,1664
11611,1570
11612,1594
11613,1643
11614,1654
11615,1611
11616,1642
11617,1556
11618,1644
11619,1612
11620,1622
11621,1644
11622,1618
11623,1695
11624,1605
11625,1646
11626,1633
11627,1618
11628,1724
11629,1647
11630,1667
11631,1696
11632,1715
11633,1688
11634,1707
11635,1615
11636,1587
11637,1623
11638,1640
11639,1624
11640,1726
11641,1539
11642,1594
11643,1647
11644,1555
11645,1650
11646,1670
11647,1557
11648,1609
11649,1548
11650,1638
11651,1741
11652,1654
11653,1655
11654,1679
11655,1669
11656,1653
11657,1617
11658,1747
11659,1564
11660,1638
11661,1676
11662,1704
11663,1581
11664,1610
11665,1649
11666,1659
11667,1664
11668,1615
11669,1632
11670,1627
11671,1560
11672,1631
11673,1636
11674,1633
11675,1646
11676,1631
11677,1595
11678,1691
11679,1688
11680,1644
11681,1696
11682,1588
11683,1645
11684,1593
11685,1642
11686,1598
11687,1599
11688,1625
11689,1572
11690,1579
11691,1647
11692,1619
11693,1596
11694,1606
11695,1660
11696,1568
11697,1565
11698,1611
11699,1606
11700,1663
11701,1563
11702,1610
