Gray value,Voxel count
0,278176
1,1614
2,1636
3,1527
4,1609
5,1676
6,1604
7,1577
8,1641
9,1693
10,1688
11,1689
12,1689
13,1683
14,1636
15,1745
16,1669
17,1754
18,1785
19,1778
20,1786
21,1825
22,1823
23,1910
24,1861
25,1916
26,1858
27,1945
28,1880
29,1880
30,1848
31,1932
32,1894
33,1914
34,1943
35,1982
36,1991
37,2045
38,2023
39,2023
40,2009
41,2086
42,2038
43,2195
44,2152
45,2152
46,2109
47,2126
48,2144
49,2161
50,2156
51,2308
52,2253
53,2179
54,2257
55,2267
56,2297
57,2283
58,2294
59,2322
60,2335
61,2292
62,2428
63,2347
64,2379
65,2481
66,2425
67,2439
68,2569
69,2412
70,2531
71,2473
72,2588
73,2592
74,2608
75,2483
76,2574
77,2598
78,2608
79,2623
80,2756
81,2618
82,2700
83,2671
84,2695
85,2750
86,2757
87,2767
88,2795
89,2885
90,2816
91,2842
92,2911
93,2888
94,2975
95,2980
96,2928
97,2947
98,2897
99,3081
100,3048
101,3052
102,3112
103,3090
104,3122
105,3138
106,3145
107,3135
108,3238
109,3200
110,3265
111,3234
112,3284
113,3354
114,3347
115,3401
116,3294
117,3441
118,3433
119,3459
120,3476
121,3482
122,3556
123,3569
124,3609
125,3553
126,3622
127,3653
128,3729
129,3734
130,3745
131,3802
132,3833
133,3739
134,3905
135,3822
136,3989
137,3929
138,3929
139,3913
140,3943
141,4025
142,4045
143,4031
144,4156
145,4209
146,4162
147,4142
148,4146
149,4146
150,4279
151,4320
152,4313
153,4308
154,4389
155,4266
156,4495
157,4575
158,4472
159,4642
160,4576
161,4612
162,4596
163,4691
164,4721
165,4793
166,4792
167,4812
168,4836
169,4992
170,5035
171,4962
172,5039
173,5037
174,5046
175,5168
176,5037
177,5150
178,5215
179,5318
180,5288
181,5344
182,5261
183,5358
184,5364
185,5503
186,5578
187,5626
188,5459
189,5562
190,5762
191,5663
192,5849
193,5815
194,5711
195,5756
196,5959
197,5789
198,6098
199,6008
200,5926
201,6153
202,6110
203,5967
204,6329
205,6247
206,6305
207,6371
208,6341
209,6538
210,6596
211,6541
212,6615
213,6643
214,6624
215,6849
216,6754
217,6748
218,6728
219,6969
220,6982
221,6836
222,7137
223,7009
224,7137
225,7128
226,7254
227,7274
228,7294
229,7542
230,7392
231,7461
232,7573
233,7552
234,7673
235,7600
236,7798
237,7847
238,7703
239,8068
240,7869
241,7934
242,7952
243,7816
244,8300
245,8286
246,8301
247,8390
248,8450
249,8415
250,8506
251,8601
252,8607
253,8612
254,8632
255,8838
256,8819
257,8865
258,8887
259,9030
260,8986
261,9179
262,9162
263,9281
264,9302
265,9528
266,9557
267,9630
268,9623
269,9799
270,9923
271,9900
272,10060
273,10256
274,9963
275,10157
276,10217
277,10347
278,10399
279,10422
280,10252
281,10526
282,10540
283,10548
284,10759
285,10852
286,10881
287,11059
288,11214
289,11065
290,11151
291,11611
292,11187
293,11442
294,11573
295,11610
296,11693
297,11921
298,12055
299,11921
300,12080
301,11927
302,12282
303,12283
304,12364
305,12535
306,12428
307,12620
308,12705
309,12696
310,12772
311,13075
312,12804
313,13248
314,13394
315,13475
316,13153
317,13554
318,13790
319,13863
320,13794
321,14004
322,14066
323,14045
324,14083
325,14306
326,14458
327,14341
328,14462
329,14593
330,14652
331,15157
332,15087
333,14993
334,15090
335,15291
336,15343
337,15619
338,15703
339,15597
340,15788
341,15882
342,16106
343,15872
344,16279
345,16497
346,16487
347,16498
348,16737
349,17104
350,16970
351,17168
352,16835
353,17457
354,17299
355,17658
356,17626
357,17774
358,17904
359,18274
360,18115
361,18626
362,18016
363,18262
364,18513
365,18797
366,18895
367,19244
368,19279
369,19210
370,19427
371,19398
372,19697
373,19919
374,19687
375,20001
376,19985
377,20319
378,20575
379,20489
380,20697
381,20764
382,21064
383,21361
384,21479
385,21572
386,21283
387,21526
388,21859
389,22228
390,22313
391,22294
392,22561
393,22616
394,22940
395,23049
396,23023
397,23349
398,23400
399,23387
400,23626
401,24015
402,24040
403,23906
404,24330
405,24404
406,24690
407,24963
408,25295
409,25114
410,25268
411,25267
412,25705
413,26053
414,25590
415,26248
416,26792
417,26434
418,26507
419,27060
420,27154
421,26938
422,27299
423,27577
424,28091
425,28144
426,28200
427,28190
428,28638
429,28666
430,29303
431,29245
432,29181
433,29853
434,29980
435,29850
436,29926
437,30682
438,30956
439,30489
440,31019
441,31517
442,31611
443,31771
444,31907
445,32043
446,32089
447,32681
448,32478
449,32777
450,33109
451,33145
452,33328
453,33570
454,34281
455,34047
456,34517
457,34895
458,34754
459,34912
460,35184
461,35145
462,35659
463,35858
464,35980
465,36545
466,36914
467,36694
468,37181
469,37662
470,37598
471,38304
472,38261
473,38180
474,38343
475,38988
476,38827
477,39354
478,39941
479,39792
480,39914
481,40157
482,40512
483,41083
484,41113
485,41668
486,41677
487,41705
488,42883
489,42275
490,42393
491,43170
492,43142
493,43463
494,43964
495,44237
496,44435
497,44489
498,44857
499,45072
500,45578
501,45671
502,46133
503,46595
504,46376
505,46895
506,47565
507,47834
508,47753
509,48656
510,48599
511,48949
512,49365
513,49567
514,49875
515,50108
516,50057
517,50575
518,51187
519,51279
520,51929
521,52129
522,52432
523,52911
524,52851
525,53502
526,53533
527,54220
528,54228
529,54900
530,55057
531,55753
532,55875
533,56211
534,56525
535,56753
536,56691
537,57171
538,57909
539,57707
540,58503
541,58820
542,59421
543,59877
544,60155
545,60656
546,61122
547,61518
548,61472
549,61612
550,62238
551,62614
552,62866
553,63387
554,63610
555,63689
556,64366
557,65228
558,65552
559,66034
560,65957
561,66170
562,66940
563,67714
564,68060
565,68106
566,68592
567,68822
568,69568
569,69926
570,70498
571,71354
572,71430
573,71201
574,72051
575,72103
576,72991
577,73476
578,73508
579,73923
580,74619
581,74908
582,75821
583,76043
584,76034
585,77304
586,77666
587,78374
588,78381
589,78587
590,78635
591,79643
592,79781
593,80395
594,80877
595,81614
596,81829
597,82257
598,82680
599,83302
600,83641
601,84623
602,84906
603,85470
604,85735
605,86468
606,86890
607,86830
608,87841
609,88603
610,89228
611,89435
612,89826
613,90502
614,91303
615,91751
616,92551
617,92185
618,93255
619,93597
620,93544
621,95188
622,95288
623,95617
624,96230
625,97280
626,97376
627,98142
628,98586
629,98913
630,98933
631,100029
632,100607
633,101486
634,101804
635,101855
636,102464
637,103600
638,104533
639,104856
640,105303
641,105919
642,106362
643,107007
644,107942
645,108544
646,108886
647,109113
648,109810
649,110798
650,111112
651,111866
652,113091
653,112751
654,113767
655,114808
656,115088
657,115109
658,116005
659,116572
660,117726
661,118529
662,118340
663,118937
664,119738
665,120777
666,121821
667,122239
668,123000
669,123621
670,123962
671,123845
672,125547
673,126081
674,126548
675,127860
676,127728
677,129196
678,129281
679,129989
680,130632
681,130842
682,132374
683,132732
684,132852
685,134619
686,135288
687,135141
688,136015
689,136936
690,137410
691,138339
692,138985
693,140445
694,140357
695,140827
696,142545
697,142978
698,143908
699,144655
700,144364
701,145237
702,146358
703,147161
704,148181
705,149347
706,149354
