Gray value ,Voxel count 
19831,1156
19832,1149
19833,1152
19834,1179
19835,1198
19836,1221
19837,1199
19838,1224
19839,1218
19840,1155
19841,1225
19842,1163
19843,1201
19844,1146
19845,1180
19846,1237
19847,1193
19848,1166
19849,1158
19850,1210
19851,1201
19852,1207
19853,1163
19854,1182
19855,1218
19856,1220
19857,1195
19858,1209
19859,1231
19860,1168
19861,1199
19862,1273
19863,1175
19864,1189
19865,1198
19866,1222
19867,1193
19868,1180
19869,1262
19870,1205
19871,1166
19872,1197
19873,1201
19874,1207
19875,1240
19876,1224
19877,1149
19878,1212
19879,1221
19880,1191
19881,1212
19882,1241
19883,1162
19884,1219
19885,1132
19886,1200
19887,1209
19888,1195
19889,1200
19890,1194
19891,1322
19892,1209
19893,1275
19894,1220
19895,1248
19896,1200
19897,1270
19898,1223
19899,1207
19900,1206
19901,1185
19902,1208
19903,1241
19904,1206
19905,1211
19906,1156
19907,1244
19908,1209
19909,1197
19910,1233
19911,1199
19912,1185
19913,1226
19914,1154
19915,1239
19916,1194
19917,1242
19918,1321
19919,1209
19920,1188
19921,1206
19922,1145
19923,1218
19924,1185
19925,1249
19926,1212
19927,1194
19928,1280
19929,1169
19930,1194
19931,1192
19932,1185
19933,1181
19934,1234
19935,1221
19936,1224
19937,1195
19938,1199
19939,1222
19940,1235
19941,1169
19942,1260
19943,1177
19944,1218
19945,1213
19946,1297
19947,1242
19948,1159
19949,1135
19950,1213
19951,1212
19952,1212
19953,1185
19954,1164
19955,1242
19956,1210
19957,1230
19958,1236
19959,1298
19960,1249
19961,1221
19962,1222
19963,1204
19964,1252
19965,1198
19966,1170
19967,1240
19968,1197
19969,1230
19970,1187
19971,1227
19972,1145
19973,1205
19974,1141
19975,1253
19976,1257
19977,1214
19978,1242
19979,1257
19980,1272
19981,1276
19982,1143
19983,1242
19984,1193
19985,1233
19986,1204
19987,1136
19988,1270
19989,1242
19990,1169
19991,1252
19992,1246
19993,1266
19994,1292
19995,1195
19996,1234
19997,1173
19998,1216
19999,1210
20000,1202
20001,1275
20002,1225
20003,1208
20004,1222
20005,1183
20006,1226
20007,1223
20008,1217
20009,1223
20010,1208
20011,1201
20012,1213
20013,1234
20014,1239
20015,1176
20016,1188
20017,1219
20018,1293
20019,1196
20020,1209
20021,1296
20022,1275
20023,1237
20024,1208
20025,1214
20026,1145
20027,1271
20028,1228
20029,1249
20030,1251
20031,1189
20032,1227
20033,1230
20034,1262
20035,1245
20036,1304
20037,1273
20038,1179
20039,1269
20040,1172
