Gray value ,Voxel count 
16719,844
16720,857
16721,831
16722,870
16723,845
16724,872
16725,897
16726,903
16727,891
16728,921
16729,901
16730,896
16731,867
16732,867
16733,854
16734,888
16735,915
16736,924
16737,929
16738,898
16739,870
16740,878
16741,916
16742,891
16743,866
16744,858
16745,894
16746,948
16747,874
16748,897
16749,910
16750,884
16751,875
16752,947
16753,921
16754,877
16755,915
16756,870
16757,850
16758,893
16759,841
16760,903
16761,914
16762,903
16763,911
16764,934
16765,953
16766,906
16767,892
16768,943
16769,882
16770,928
16771,894
16772,888
16773,887
16774,887
16775,850
16776,904
16777,913
16778,911
16779,916
16780,897
16781,921
16782,888
16783,899
16784,900
16785,879
16786,892
16787,947
16788,951
16789,939
16790,887
16791,882
16792,931
16793,932
16794,904
16795,895
16796,906
16797,875
16798,947
16799,923
16800,918
16801,889
16802,937
16803,878
16804,924
16805,903
16806,946
16807,928
16808,919
16809,879
16810,959
16811,958
16812,909
16813,918
16814,902
16815,921
16816,894
16817,921
16818,893
16819,946
16820,926
16821,935
16822,852
16823,962
16824,915
16825,930
16826,936
16827,867
16828,903
16829,921
16830,903
16831,962
16832,877
16833,973
16834,939
16835,897
16836,961
16837,931
16838,926
16839,941
16840,926
16841,909
16842,981
16843,930
16844,984
16845,967
16846,931
16847,907
16848,915
16849,935
16850,928
16851,948
16852,913
16853,902
16854,970
16855,949
16856,953
16857,971
16858,986
16859,927
16860,930
16861,942
16862,933
16863,918
16864,974
16865,936
16866,953
16867,949
16868,899
16869,872
16870,913
16871,947
16872,934
16873,989
16874,955
16875,933
16876,944
16877,958
16878,948
16879,966
16880,946
16881,914
16882,928
16883,985
16884,908
16885,952
16886,920
16887,1007
16888,977
16889,924
16890,940
16891,939
16892,942
16893,956
16894,992
16895,895
16896,959
16897,929
16898,1021
16899,940
16900,978
16901,952
16902,956
16903,970
16904,1002
16905,930
16906,932
16907,916
16908,969
16909,982
16910,953
16911,893
16912,948
16913,954
16914,936
16915,945
16916,973
16917,993
16918,983
16919,965
16920,968
16921,886
16922,924
16923,959
16924,940
16925,948
16926,959
16927,933
16928,967
16929,990
16930,1028
16931,964
16932,887
16933,903
16934,979
16935,967
16936,1008
16937,979
16938,942
16939,999
16940,949
16941,975
16942,931
16943,982
16944,939
16945,949
16946,964
16947,982
16948,1016
16949,941
16950,995
16951,995
16952,1002
16953,972
16954,951
16955,991
16956,931
16957,981
16958,963
16959,956
16960,988
16961,974
16962,928
16963,1032
16964,993
16965,994
16966,999
16967,944
16968,923
16969,968
16970,1000
16971,1014
16972,1041
16973,989
16974,937
16975,999
16976,1019
16977,992
16978,1013
16979,975
16980,937
16981,1021
16982,969
16983,1003
16984,1021
16985,1013
16986,1046
16987,1002
16988,958
16989,991
16990,993
16991,961
16992,1031
16993,959
16994,1012
16995,1003
16996,995
16997,1035
16998,1006
16999,978
17000,978
17001,1034
17002,963
